,pert,pert_idx,data_start_idx,data_end_idx+1
363,CBL+TGFBR2,"[1054, 8105]",195766,195922
364,TMEM167A+ctrl,[8258],195922,196307
365,CBL+UBASH3B,"[1054, 8700]",196307,196633
366,MAP4K3+ctrl,[4323],196633,196932
367,ZNF318+ctrl,[9430],196932,197473
368,KMT2A+ctrl,[3984],197473,197658
369,KLF1+TGFBR2,"[3948, 8105]",197658,197921
370,CDKN1B+CDKN1A,"[1257, 1256]",197921,198019
371,BPGM+ZBTB1,"[824, 9151]",198019,198302
372,UBASH3B+CNN1,"[8700, 1509]",198302,198657
