,pert,pert_idx,data_start_idx,data_end_idx+1,de_idx
15,"['SOCS1', 'ctrl']",[7548],33574,33957,"[162, 355, 621, 910, 911, 978, 1022, 1481, 1929, 2644, 3576, 3715, 3721, 3917, 4533, 4614, 4742, 4767, 4811, 4853]"
16,"['UFL1', 'ctrl']",[8777],33957,34439,"[162, 355, 910, 978, 1022, 1481, 1675, 1894, 1929, 2644, 3277, 3576, 3721, 4533, 4614, 4742, 4767, 4811, 4853, 4878]"
17,"['DDRGK1', 'ctrl']",[1886],34439,34952,"[162, 355, 745, 910, 978, 1022, 1481, 1929, 2644, 3277, 3576, 3721, 3917, 4453, 4533, 4614, 4742, 4767, 4811, 4853]"
18,"['QARS', 'ctrl']",[6341],34952,35257,"[288, 339, 910, 938, 1049, 1667, 1754, 1929, 2911, 2912, 2964, 2990, 2998, 3380, 3845, 3848, 4202, 4259, 4614, 4771]"
19,"['STT3A', 'ctrl']",[7805],35257,35648,"[162, 355, 745, 910, 978, 1022, 1481, 1929, 1938, 2644, 3417, 3576, 3721, 3917, 4533, 4614, 4742, 4767, 4853, 4901]"
20,"['SAMM50', 'ctrl']",[6970],35648,36320,"[355, 910, 1481, 1822, 1929, 2987, 3277, 3380, 3576, 3721, 3917, 4063, 4528, 4533, 4553, 4614, 4742, 4853, 4878, 4979]"
21,"['MRGBP', 'ctrl']",[4667],36320,36807,"[162, 355, 745, 910, 978, 1022, 1481, 1929, 2998, 3576, 3721, 4533, 4535, 4553, 4614, 4742, 4767, 4811, 4853, 4901]"
22,"['SEL1L', 'ctrl']",[7078],36807,37183,"[162, 355, 621, 745, 910, 978, 1022, 1481, 1491, 1929, 2640, 2644, 3358, 3576, 3917, 4533, 4742, 4767, 4811, 4853]"
23,"['PDIA6', 'ctrl']",[5606],37183,37688,"[162, 355, 621, 745, 910, 978, 1022, 1481, 1929, 2644, 2717, 3576, 3721, 3917, 4533, 4614, 4742, 4767, 4811, 4853]"
24,"['ATP5B', 'ctrl']",[605],37688,38235,"[355, 910, 1481, 1929, 2195, 2987, 3277, 3289, 3380, 3576, 3721, 3917, 4528, 4533, 4553, 4614, 4720, 4853, 4878, 4896]"
25,"['SYVN1', 'ctrl']",[7890],38235,38788,"[162, 355, 745, 910, 978, 1022, 1481, 1929, 2640, 2644, 3029, 3576, 3917, 4533, 4614, 4742, 4767, 4811, 4853, 4901]"
26,"['MTHFD1', 'ctrl']",[4796],38788,39209,"[30, 355, 910, 1064, 1481, 1848, 1929, 2195, 3138, 3514, 3576, 3597, 3949, 4528, 4533, 4614, 4742, 4750, 4767, 4896]"
27,"['GMPPB', 'ctrl']",[3055],39209,39715,"[162, 355, 745, 910, 978, 1022, 1481, 1929, 2644, 2717, 3576, 3721, 3917, 4533, 4614, 4742, 4767, 4811, 4853, 4901]"
28,"['CAD', 'ctrl']",[992],39715,39957,"[102, 298, 355, 910, 1073, 1481, 1650, 1929, 2252, 2644, 2786, 2912, 2998, 3056, 3721, 4614, 4648, 4750, 4767, 4811]"
29,"['TMEM167A', 'ctrl']",[8258],39957,40342,"[162, 355, 621, 745, 910, 1481, 1534, 1929, 2230, 2644, 3008, 3277, 3576, 3715, 3721, 3917, 4533, 4614, 4767, 4853]"
30,"['GNPNAT1', 'ctrl']",[3081],40342,40770,"[162, 355, 745, 910, 978, 1022, 1481, 1929, 2644, 2717, 3576, 3585, 3721, 3917, 4533, 4614, 4742, 4767, 4811, 4853]"
31,"['TTI2', 'ctrl']",[8612],40770,41300,"[162, 355, 745, 910, 978, 1022, 1481, 1929, 2384, 2644, 2717, 2987, 3576, 3721, 3917, 4533, 4614, 4742, 4811, 4853]"
32,"['SLC39A7', 'ctrl']",[7372],41300,41818,"[355, 745, 910, 978, 1022, 1481, 1814, 1929, 2644, 3576, 3917, 4047, 4533, 4614, 4742, 4767, 4811, 4853, 4878, 4901]"
33,"['DERL2', 'ctrl']",[1944],41818,42360,"[162, 355, 910, 978, 1022, 1481, 1822, 1929, 2644, 3576, 3721, 3917, 3949, 4086, 4533, 4614, 4742, 4767, 4811, 4853]"
34,"['NEDD8', 'ctrl']",[5042],42360,42749,"[80, 162, 355, 910, 978, 1481, 1491, 1795, 1929, 2086, 2230, 2499, 3551, 3576, 3932, 4533, 4614, 4742, 4794, 4853]"
35,"['TELO2', 'ctrl']",[8058],42749,43311,"[162, 355, 745, 910, 978, 1022, 1481, 1929, 1941, 2644, 3576, 3721, 3862, 3917, 3949, 4533, 4614, 4742, 4811, 4853]"
36,"['HSPA9', 'ctrl']",[3564],43311,44029,"[910, 1481, 1598, 1754, 1822, 2791, 2911, 2975, 2990, 2998, 3059, 3277, 3576, 3721, 3845, 3848, 4063, 4202, 4533, 4614]"
37,"['MRPL39', 'ctrl']",[4700],44029,44611,"[355, 910, 1481, 1929, 2195, 2987, 3277, 3380, 3576, 3721, 3949, 4528, 4533, 4614, 4742, 4767, 4853, 4896, 4901, 5006]"
38,"['GBF1', 'ctrl']",[2945],44611,45397,"[162, 355, 745, 910, 978, 1022, 1481, 1929, 2644, 3277, 3576, 3721, 3917, 4533, 4614, 4742, 4767, 4811, 4853, 4901]"
39,"['FARSB', 'ctrl']",[2646],45397,45914,"[910, 925, 938, 1481, 2969, 2987, 2998, 3277, 3281, 3380, 3576, 3721, 3848, 3917, 4202, 4533, 4553, 4614, 4720, 4771]"
40,"['SEC63', 'ctrl']",[7074],45914,46471,"[162, 355, 745, 910, 978, 1022, 1481, 1900, 1929, 2644, 2717, 3576, 3721, 3917, 4533, 4614, 4742, 4767, 4811, 4853]"
41,"['MANF', 'ctrl']",[4297],46471,46933,"[162, 355, 745, 910, 978, 1022, 1064, 1481, 1929, 1938, 2644, 3576, 3721, 3917, 4533, 4614, 4742, 4767, 4811, 4853]"
42,"['MARS', 'ctrl']",[4356],46933,47367,"[910, 938, 1481, 1799, 2195, 2791, 2969, 2998, 3008, 3299, 3300, 3653, 3949, 4047, 4444, 4511, 4528, 4533, 4771, 4896]"
43,"['HSD17B12', 'ctrl']",[3541],47367,47690,"[80, 81, 162, 277, 355, 910, 978, 1481, 1929, 2189, 2230, 2959, 3576, 3917, 4533, 4614, 4742, 4853, 4896, 4901]"
44,"['SEC61B', 'ctrl']",[7071],47690,48116,"[162, 355, 745, 910, 978, 1022, 1481, 1929, 2612, 2644, 3008, 3576, 3721, 3917, 4533, 4614, 4742, 4767, 4811, 4853]"
45,"['TARS', 'ctrl']",[7942],48116,48787,"[288, 355, 910, 1474, 1481, 1929, 2086, 2230, 2987, 2998, 3277, 3380, 3576, 3721, 3917, 3949, 4533, 4553, 4614, 4853]"
46,"['ASCC3', 'ctrl']",[526],48787,49311,"[80, 355, 745, 910, 1481, 1675, 1895, 1929, 2022, 2499, 2644, 3721, 3917, 3984, 4533, 4614, 4742, 4853, 4878, 4901]"
47,"['EIF2B2', 'ctrl']",[2295],49311,49819,"[228, 288, 910, 1481, 1754, 2086, 2911, 2912, 2969, 2998, 3277, 3380, 3576, 3619, 3721, 3845, 3848, 4533, 4556, 4614]"
48,"['SARS', 'ctrl']",[6982],49819,50211,"[252, 288, 910, 938, 1481, 2195, 2885, 2911, 2912, 2969, 2990, 2998, 3034, 3277, 3380, 3721, 3845, 3848, 3949, 4901]"
49,"['ARHGAP22', 'ctrl']",[430],50211,50617,"[355, 910, 1481, 1929, 2195, 2959, 2969, 2987, 3277, 3435, 3576, 3721, 3795, 3949, 4047, 4533, 4614, 4742, 4767, 4853]"
50,"['TTI1', 'ctrl']",[8611],50617,51052,"[71, 355, 910, 1481, 1822, 1929, 2230, 2252, 2644, 2987, 3576, 3721, 3917, 3949, 4491, 4533, 4614, 4742, 4811, 4853]"
51,"['HSPA5', 'ctrl']",[3562],51052,52054,"[621, 910, 978, 1064, 1481, 1675, 1683, 1929, 2175, 2328, 3277, 3358, 3576, 3715, 3757, 4533, 4614, 4649, 4853, 4896]"
52,"['PSMD4', 'ctrl']",[6238],52054,52542,"[162, 333, 910, 978, 1481, 1929, 2369, 2788, 2911, 2912, 3721, 3747, 4237, 4533, 4742, 4747, 4750, 4767, 4801, 4853]"
53,"['SRP72', 'ctrl']",[7689],52542,52983,"[93, 162, 355, 745, 910, 978, 1022, 1312, 1481, 1929, 1938, 2644, 3576, 3917, 4533, 4614, 4742, 4767, 4811, 4853]"
54,"['SCYL1', 'ctrl']",[7034],52983,54007,"[355, 621, 745, 910, 1481, 1929, 2189, 2230, 2644, 3035, 3277, 3576, 3715, 3721, 3917, 4533, 4614, 4649, 4767, 4853]"
55,"['SRP68', 'ctrl']",[7688],54007,54590,"[162, 355, 910, 1022, 1481, 1822, 1929, 2644, 2998, 3008, 3576, 4047, 4327, 4453, 4533, 4614, 4742, 4767, 4853, 4901]"
56,"['EIF2S1', 'ctrl']",[2300],54590,55005,"[80, 288, 339, 454, 910, 2086, 2203, 2791, 2975, 2990, 2998, 3059, 3277, 3576, 3601, 3845, 3848, 4202, 4533, 4614]"
57,"['TIMM44', 'ctrl']",[8168],55005,55492,"[80, 288, 594, 910, 938, 1481, 2086, 2911, 2969, 2990, 2998, 3277, 3380, 3576, 3721, 3845, 3848, 4533, 4610, 4614]"
58,"['PTDSS1', 'ctrl']",[6265],55492,55941,"[162, 355, 463, 745, 910, 978, 1022, 1481, 1929, 2453, 2644, 3576, 3721, 3917, 4533, 4614, 4742, 4767, 4811, 4853]"
59,"['HYOU1', 'ctrl']",[3582],55941,56373,"[162, 355, 745, 910, 978, 1022, 1481, 1929, 1938, 2644, 3132, 3576, 3721, 3917, 4533, 4614, 4742, 4811, 4853, 4901]"
60,"['DDOST', 'ctrl']",[1884],56373,56691,"[59, 162, 355, 621, 745, 910, 978, 1481, 1929, 2192, 2644, 2987, 3277, 3576, 3721, 4533, 4614, 4742, 4767, 4853]"
61,"['SLC35B1', 'ctrl']",[7338],56691,57214,"[162, 355, 745, 910, 978, 1022, 1481, 1929, 2644, 3576, 3721, 3917, 4252, 4533, 4614, 4742, 4767, 4811, 4853, 4901]"
62,"['TMED10', 'ctrl']",[8216],57214,57748,"[162, 355, 745, 910, 978, 1022, 1481, 1675, 1929, 2644, 3576, 3622, 3721, 3917, 4533, 4614, 4742, 4811, 4853, 4901]"
63,"['CCND3', 'ctrl']",[1135],57748,58058,"[355, 745, 910, 1022, 1452, 1481, 1838, 1929, 2644, 2717, 2912, 2998, 3339, 3576, 3721, 4533, 4553, 4742, 4767, 4853]"
64,"['UFM1', 'ctrl']",[8778],58058,58649,"[162, 355, 745, 910, 978, 1022, 1481, 1929, 2644, 3277, 3449, 3576, 3721, 3917, 4533, 4614, 4742, 4767, 4811, 4853]"
65,"['COPB1', 'ctrl']",[1570],58649,58834,"[21, 322, 428, 720, 764, 910, 990, 1280, 1460, 1481, 1779, 1903, 1985, 1988, 2227, 3536, 3802, 4077, 4478, 4736]"
66,"['CHERP', 'ctrl']",[1374],58834,59238,"[93, 102, 355, 910, 911, 1404, 1481, 1938, 2586, 3240, 3277, 3289, 3576, 4286, 4528, 4533, 4553, 4671, 4767, 4896]"
67,"['AARS', 'ctrl']",[8],59238,59598,"[80, 288, 910, 938, 1022, 1756, 2203, 2499, 2884, 2969, 2987, 2998, 3277, 3721, 3845, 3848, 3949, 4016, 4202, 4533]"
68,"['SRPRB', 'ctrl']",[7693],59598,60194,"[355, 745, 910, 978, 1022, 1064, 1145, 1481, 1929, 2644, 2998, 3008, 3576, 4533, 4614, 4742, 4767, 4853, 4896, 4901]"
69,"['FECH', 'ctrl']",[2711],60194,60764,"[93, 162, 355, 745, 910, 1481, 1929, 2195, 3576, 3845, 3917, 4047, 4528, 4533, 4614, 4742, 4853, 4878, 4896, 4901]"
70,"['PPWD1', 'ctrl']",[6087],60764,60954,"[102, 1137, 1141, 1268, 1286, 1657, 1985, 2408, 2644, 2815, 2837, 3007, 3323, 3598, 3995, 4106, 4178, 4407, 4533, 4932]"
71,"['DHDDS', 'ctrl']",[1965],60954,61353,"[228, 621, 910, 1064, 1929, 2175, 2640, 2987, 2998, 3008, 3277, 3358, 3715, 3721, 3757, 4533, 4649, 4767, 4771, 4896]"
72,"['COPZ1', 'ctrl']",[1585],61353,61573,"[332, 910, 980, 1029, 1286, 1481, 1573, 1929, 2230, 2559, 2696, 2837, 2943, 3272, 3428, 3576, 3721, 4294, 4478, 4533]"
73,"['EIF2B3', 'ctrl']",[2296],61573,61919,"[166, 288, 339, 910, 938, 1481, 2086, 2911, 2912, 2969, 2998, 3277, 3380, 3721, 3845, 3848, 4202, 4556, 4614, 4878]"
74,"['SEC61G', 'ctrl']",[7072],61919,62449,"[158, 355, 910, 911, 1481, 1929, 2043, 2456, 3008, 3277, 3576, 3949, 4047, 4533, 4614, 4742, 4767, 4853, 4878, 4901]"
75,"['DNAJC19', 'ctrl']",[2070],62449,62895,"[80, 228, 910, 1203, 1481, 1822, 1929, 2086, 2969, 2998, 3277, 3380, 3576, 3721, 3917, 4533, 4553, 4614, 4742, 4853]"
76,"['XRN1', 'ctrl']",[9093],62895,63516,"[162, 355, 745, 910, 978, 1022, 1481, 1929, 2499, 2644, 3339, 3576, 3721, 3917, 4528, 4533, 4614, 4742, 4767, 4853]"
77,"['CARS', 'ctrl']",[1033],63516,63945,"[80, 288, 938, 1929, 2086, 2230, 2884, 2908, 2990, 2998, 3034, 3059, 3277, 3380, 3721, 3845, 3848, 4533, 4614, 4878]"
78,"['TMED2', 'ctrl']",[8217],63945,64395,"[162, 355, 745, 910, 978, 1022, 1481, 1929, 2230, 2644, 3410, 3576, 3721, 3917, 4533, 4614, 4742, 4811, 4853, 4901]"
79,"['P4HB', 'ctrl']",[5458],64395,64866,"[162, 355, 745, 910, 978, 1022, 1481, 1929, 2644, 3576, 3721, 3917, 4047, 4361, 4533, 4614, 4742, 4767, 4811, 4853]"
80,"['SPCS3', 'ctrl']",[7614],64866,65402,"[162, 355, 910, 978, 1022, 1430, 1481, 1532, 1929, 3277, 3715, 3721, 3917, 4047, 4533, 4614, 4742, 4767, 4794, 4853]"
81,"['SPCS2', 'ctrl']",[7613],65402,65899,"[162, 355, 745, 910, 978, 1022, 1481, 1929, 1938, 2644, 2717, 3074, 3576, 3721, 3917, 4533, 4614, 4742, 4811, 4853]"
