,pert,pert_idx,data_start_idx,data_end_idx+1,de_idx
28,"['TBX3', 'ctrl']",[8001],18606,18895,"[28, 94, 1288, 1289, 1423, 2461, 2604, 2740, 3302, 3430, 3803, 3874, 4132, 4281, 4380, 4504, 4624, 4756, 4766, 4983]"
29,"['LHX1', 'ctrl']",[4092],18895,19237,"[120, 244, 541, 678, 838, 1219, 1664, 1960, 2058, 2138, 2673, 2710, 2738, 2761, 2854, 3758, 4114, 4115, 4403, 4726]"
30,"['KLF1', 'FOXA1']","[3948, 2796]",19237,19560,"[77, 309, 373, 663, 678, 1288, 2058, 2234, 2666, 3758, 3760, 3776, 3806, 4130, 4502, 4588, 4700, 4756, 4766, 4907]"
31,"['TBX3', 'TBX2']","[8001, 7997]",19560,20529,"[124, 308, 663, 1288, 2461, 2470, 2621, 2740, 2756, 3430, 4229, 4291, 4380, 4504, 4624, 4726, 4766, 4953, 4965, 4983]"
32,"['ctrl', 'KLF1']",[3948],20529,21173,"[308, 373, 663, 664, 1664, 2589, 2620, 2621, 2761, 3667, 3758, 3759, 3760, 4130, 4580, 4586, 4588, 4700, 4756, 4907]"
33,"['SLC4A1', 'ctrl']",[7384],21173,22026,"[53, 166, 678, 2470, 2589, 2666, 2734, 2892, 3059, 3430, 3758, 4161, 4173, 4502, 4580, 4675, 4726, 4727, 4743, 4953]"
34,"['RREB1', 'ctrl']",[6884],22026,22307,"[150, 244, 826, 838, 1396, 1664, 2380, 2589, 2740, 3159, 3758, 3760, 3868, 4209, 4472, 4502, 4529, 4541, 4687, 4726]"
35,"['ZNF318', 'ctrl']",[9430],22307,22848,"[188, 449, 663, 838, 1030, 1288, 1718, 1753, 1969, 1970, 2619, 2620, 2621, 2628, 2738, 2740, 3160, 3758, 4155, 4504]"
36,"['DUSP9', 'MAPK1']","[2176, 4328]",22848,23095,"[94, 681, 719, 1423, 2223, 2470, 2761, 3230, 3758, 3776, 4132, 4150, 4502, 4504, 4520, 4650, 4727, 4851, 4994, 5022]"
37,"['COL2A1', 'ctrl']",[1552],23095,23342,"[94, 262, 1120, 1483, 1587, 1625, 1664, 2119, 2621, 2680, 2819, 3149, 3187, 3749, 3758, 4650, 4675, 4727, 4770, 4820]"
38,"['ctrl', 'ZBTB25']",[9164],23342,23589,"[124, 663, 681, 838, 1361, 1554, 2084, 2264, 2526, 2621, 2680, 3758, 4233, 4504, 4700, 4727, 4734, 4839, 4907, 4926]"
39,"['MAP4K5', 'ctrl']",[4325],23589,23889,"[202, 280, 295, 943, 1067, 1118, 1228, 1487, 1600, 1911, 2013, 2052, 2811, 3159, 3447, 3552, 3701, 3921, 4029, 4552]"
40,"['CEBPE', 'KLF1']","[1277, 3948]",23889,24278,"[91, 94, 308, 309, 663, 759, 1861, 2228, 2761, 2892, 3460, 3667, 3758, 3759, 3760, 4130, 4588, 4700, 4727, 4756]"
41,"['UBASH3B', 'ctrl']",[8700],24278,24748,"[160, 166, 431, 541, 842, 1667, 1704, 1960, 2084, 2135, 2264, 2621, 2848, 3758, 3810, 4504, 4700, 4756, 4849, 5022]"
42,"['SLC6A9', 'ctrl']",[7399],24748,25189,"[161, 166, 1489, 2353, 2380, 2470, 2621, 2740, 2850, 3316, 3758, 3760, 4173, 4504, 4675, 4726, 4727, 4842, 4919, 5035]"
43,"['MIDN', 'ctrl']",[4551],25189,25445,"[541, 556, 1107, 1483, 1683, 1704, 1723, 1753, 2084, 2334, 2391, 2404, 2673, 2738, 2740, 2761, 3797, 4229, 4514, 4842]"
44,"['UBASH3B', 'OSR2']","[8700, 5428]",25445,26122,"[94, 309, 389, 541, 663, 994, 1483, 1664, 1704, 1960, 2084, 2355, 2470, 2711, 2848, 4504, 4580, 4650, 4693, 4743]"
45,"['DLX2', 'ctrl']",[2023],26122,26438,"[131, 455, 498, 761, 1219, 1636, 1723, 1845, 2620, 2621, 2761, 2892, 2934, 3305, 3758, 3760, 4173, 4298, 4624, 4766]"
46,"['UBASH3B', 'ZBTB25']","[8700, 9164]",26438,26662,"[431, 663, 838, 1288, 1361, 2084, 2135, 2264, 2620, 2621, 3758, 3760, 4173, 4504, 4687, 4700, 4726, 4789, 4839, 5022]"
47,"['CBFA2T3', 'ctrl']",[1052],26662,26950,"[94, 197, 541, 634, 663, 1288, 1289, 1483, 2470, 2620, 2621, 2711, 2761, 2892, 3305, 3758, 3760, 4519, 4580, 4917]"
48,"['HES7', 'ctrl']",[3326],26950,27072,"[676, 1117, 1387, 1483, 1580, 1683, 1753, 1994, 2386, 2480, 2590, 2626, 2673, 2761, 3040, 3218, 3826, 4035, 4276, 4388]"
49,"['DUSP9', 'ETS2']","[2176, 2493]",27072,27770,"[719, 842, 1287, 1288, 1289, 1753, 2135, 2223, 2385, 2470, 2621, 2711, 2761, 2787, 3265, 3758, 3776, 4502, 4504, 4994]"
50,"['ZNF318', 'FOXL2']","[9430, 2823]",27770,27967,"[253, 498, 838, 1046, 1288, 2000, 2135, 2353, 2470, 2592, 2621, 2738, 2740, 2761, 3115, 3470, 3949, 4504, 4766, 4842]"
51,"['SET', 'CEBPE']","[7132, 1277]",27967,28496,"[95, 1289, 2470, 2544, 2620, 2621, 2699, 2756, 3040, 3059, 3460, 3825, 3835, 4291, 4504, 4766, 4825, 4842, 4927, 4992]"
52,"['UBASH3B', 'PTPN9']","[8700, 6295]",28496,28778,"[749, 842, 1288, 1289, 1464, 2135, 2264, 2621, 2740, 3430, 3700, 3758, 4173, 4209, 4423, 4504, 4700, 4726, 4842, 5022]"
53,"['IGDCC3', 'ZBTB25']","[3638, 9164]",28778,28877,"[510, 838, 1393, 1783, 1928, 2084, 2135, 2499, 2621, 2704, 2824, 3067, 3222, 3397, 3682, 3758, 4150, 4491, 4504, 4687]"
54,"['AHR', 'ctrl']",[190],28877,29356,"[94, 150, 553, 1194, 1288, 1869, 1960, 2000, 2740, 2761, 3305, 4726, 4907, 5032, 5035, 5036, 5037, 5039, 5040, 5042]"
55,"['FOXO4', 'ctrl']",[2831],29356,29545,"[323, 400, 564, 838, 852, 1383, 1667, 2058, 2084, 2144, 2149, 2321, 2504, 2631, 2787, 3512, 3856, 4640, 4919, 5032]"
56,"['ctrl', 'CBFA2T3']",[1052],29545,29788,"[94, 1288, 1289, 1483, 2189, 2380, 2470, 2620, 2621, 2693, 2892, 3176, 3722, 3758, 3828, 3853, 4556, 4580, 4911, 4974]"
57,"['KLF1', 'BAK1']","[3948, 711]",29788,30111,"[308, 663, 1664, 1690, 2351, 2589, 2620, 2621, 2761, 3667, 3732, 3758, 3760, 4130, 4580, 4588, 4700, 4727, 4756, 4853]"
58,"['ctrl', 'RUNX1T1']",[6930],30111,30467,"[220, 237, 758, 1118, 1126, 1288, 1289, 1299, 1640, 1876, 1990, 2345, 2470, 2621, 3232, 3443, 3758, 4051, 4350, 4359]"
59,"['S1PR2', 'ctrl']",[6954],30467,30913,"[77, 663, 826, 842, 1107, 1564, 2058, 2084, 2620, 2621, 3186, 3187, 3430, 3758, 3759, 3760, 3772, 4592, 4743, 4820]"
60,"['POU3F2', 'ctrl']",[5981],30913,31225,"[166, 663, 852, 1288, 1289, 1558, 1723, 1774, 2058, 2108, 2334, 2621, 2711, 2824, 3053, 3230, 3430, 3985, 4504, 4650]"
61,"['ctrl', 'CNN1']",[1509],31225,31625,"[309, 448, 1554, 2084, 2135, 2264, 2621, 2940, 3305, 3529, 3758, 3760, 4504, 4579, 4687, 4700, 4726, 4727, 4756, 5022]"
62,"['IGDCC3', 'MAPK1']","[3638, 4328]",31625,31918,"[309, 390, 495, 761, 1590, 1676, 2084, 2135, 2470, 2680, 2761, 3682, 3806, 3835, 4150, 4236, 4624, 4650, 4851, 4994]"
63,"['CELF2', 'ctrl']",[1281],31918,32306,"[94, 132, 214, 1134, 1288, 1289, 1663, 1664, 1753, 1771, 2138, 2526, 2699, 2756, 4173, 4209, 4287, 4654, 4726, 4766]"
64,"['JUN', 'CEBPA']","[3833, 1274]",32306,32376,"[498, 667, 749, 1133, 1194, 1663, 2391, 2629, 2761, 2854, 2893, 3898, 4115, 4160, 4377, 4569, 4634, 4706, 4994, 5002]"
65,"['MAP2K3', 'ctrl']",[4305],32376,32834,"[127, 166, 244, 321, 400, 719, 975, 1288, 1667, 1845, 2098, 2334, 2711, 2761, 3583, 3711, 4065, 4209, 4727, 4836]"
66,"['MAP4K3', 'ctrl']",[4323],32834,33133,"[116, 220, 280, 295, 341, 358, 602, 682, 695, 2210, 2354, 3003, 3163, 3328, 3432, 3485, 3758, 3912, 4552, 4925]"
67,"['ZBTB25', 'ctrl']",[9164],33133,33476,"[124, 663, 838, 1288, 1361, 2084, 2135, 2264, 2526, 2592, 2621, 2835, 3758, 3760, 3835, 3895, 4700, 4727, 4839, 4907]"
68,"['ZC3HAV1', 'CEBPE']","[9205, 1277]",33476,33822,"[214, 1288, 1289, 1483, 1663, 1664, 2028, 2084, 2135, 2470, 2707, 2711, 2756, 2892, 3305, 3460, 3758, 4504, 4726, 4953]"
69,"['CDKN1A', 'ctrl']",[1256],33822,33966,"[426, 496, 697, 761, 1543, 1699, 1713, 2000, 2621, 2697, 3188, 3674, 3758, 3891, 3976, 4070, 4263, 4734, 4915, 4953]"
70,"['UBASH3B', 'UBASH3A']","[8700, 8699]",33966,34392,"[166, 852, 1288, 1667, 2135, 2264, 2334, 2470, 2620, 2621, 2738, 2740, 2848, 3758, 3760, 4504, 4700, 4842, 4849, 4953]"
71,"['MAP2K3', 'MAP2K6']","[4305, 4308]",34392,34850,"[166, 321, 403, 1558, 2470, 2648, 2707, 2711, 2761, 3109, 3583, 3711, 3894, 4047, 4065, 4122, 4209, 4650, 4836, 5036]"
72,"['ctrl', 'MEIS1']",[4466],34850,35240,"[280, 541, 678, 719, 820, 969, 1126, 1288, 1289, 1396, 2263, 2619, 2621, 2740, 3335, 3852, 3854, 4504, 4727, 4945]"
73,"['MAPK1', 'PRTG']","[4328, 6196]",35240,35620,"[309, 390, 403, 719, 1676, 1753, 2084, 2135, 2470, 2589, 2680, 2761, 3662, 3758, 3806, 4236, 4624, 4650, 4851, 4994]"
74,"['PTPN1', 'ctrl']",[6286],35620,35962,"[150, 166, 400, 663, 1294, 1704, 2084, 2135, 2353, 2621, 2738, 3758, 3760, 3810, 4173, 4504, 4700, 4726, 4842, 5022]"
75,"['ctrl', 'TBX2']",[7997],35962,36257,"[124, 308, 663, 666, 1723, 2470, 2621, 2756, 2824, 3430, 4173, 4229, 4291, 4300, 4504, 4618, 4624, 4726, 4953, 4983]"
76,"['RUNX1T1', 'ctrl']",[6930],36257,36532,"[280, 505, 577, 889, 953, 1487, 1601, 1941, 2345, 2470, 2697, 2720, 3159, 3568, 3701, 3868, 4155, 4421, 4735, 4911]"
77,"['PTPN12', 'ctrl']",[6288],36532,36726,"[101, 326, 749, 1027, 1934, 2000, 2835, 3110, 3175, 3176, 3470, 3758, 3898, 4070, 4504, 4700, 4726, 4727, 4771, 4881]"
78,"['TP73', 'ctrl']",[8425],36726,36944,"[37, 50, 150, 244, 852, 2058, 2135, 2648, 2738, 2740, 2761, 2934, 3305, 3758, 4380, 4507, 4634, 4726, 4766, 4842]"
79,"['ctrl', 'MAP7D1']",[4326],36944,37302,"[93, 130, 280, 772, 824, 943, 1851, 2230, 2628, 2709, 3214, 3429, 3432, 3826, 3939, 3948, 4219, 4597, 4951, 5031]"
80,"['MAP2K3', 'IKZF3']","[4305, 3658]",37302,37522,"[759, 838, 1107, 1194, 1288, 1289, 2135, 2351, 2353, 2620, 2621, 2702, 2756, 3758, 3759, 3760, 4700, 4766, 4789, 4953]"
81,"['FOSB', 'ctrl']",[2793],37522,38024,"[94, 214, 678, 826, 1288, 1289, 1663, 1664, 1753, 2138, 2699, 2856, 2892, 3867, 4504, 4612, 4726, 4766, 4907, 4953]"
82,"['MAPK1', 'ctrl']",[4328],38024,38303,"[94, 95, 283, 309, 663, 1664, 1676, 2084, 2090, 2589, 2620, 2621, 2761, 3102, 3758, 3894, 4236, 4687, 4727, 4851]"
83,"['C19orf26', 'ctrl']",[925],38303,38783,"[448, 838, 842, 1288, 1289, 1664, 2135, 2380, 2589, 2621, 2738, 2740, 2761, 3561, 3585, 3758, 3957, 4150, 4512, 4687]"
84,"['KLF1', 'COL2A1']","[3948, 1552]",38783,39034,"[94, 262, 309, 663, 1625, 1636, 2119, 2680, 2892, 2944, 3149, 4130, 4144, 4504, 4588, 4756, 4907, 5031, 5032, 5039]"
85,"['PTPN12', 'OSR2']","[6288, 5428]",39034,39317,"[94, 95, 209, 292, 326, 389, 527, 994, 1126, 1483, 1487, 1664, 1862, 1934, 2355, 2470, 2761, 3485, 3720, 4762]"
86,"['IRF1', 'ctrl']",[3753],39317,39648,"[5, 166, 283, 663, 719, 760, 1477, 1657, 1682, 1689, 2084, 2145, 2493, 2616, 3059, 3467, 4173, 4504, 4726, 4727]"
87,"['TMSB4X', 'BAK1']","[8345, 711]",39648,39915,"[496, 505, 695, 1027, 1118, 1126, 1396, 1690, 1861, 2084, 2424, 2470, 2517, 2592, 3053, 4071, 4115, 4291, 4612, 4650]"
88,"['BPGM', 'SAMD1']","[824, 6967]",39915,40155,"[1288, 2023, 2084, 2135, 2150, 2380, 2470, 2620, 2621, 3194, 3430, 3758, 3760, 4504, 4700, 4726, 4789, 5022, 5039, 5042]"
89,"['IKZF3', 'ctrl']",[3658],40155,40529,"[759, 838, 1107, 1288, 1289, 2135, 2334, 2620, 2621, 2711, 2726, 2756, 2761, 3758, 3759, 3760, 4687, 4700, 4766, 4953]"
90,"['ETS2', 'CEBPE']","[2493, 1277]",40529,40849,"[94, 663, 678, 1288, 1289, 1663, 1664, 1861, 2084, 2470, 2589, 2620, 2621, 2761, 3102, 3460, 3758, 3857, 4687, 4953]"
91,"['POU3F2', 'FOXL2']","[5981, 2823]",40849,41135,"[50, 150, 852, 1288, 1723, 1774, 2058, 2334, 2391, 2711, 2738, 2740, 2761, 3898, 4209, 4504, 4650, 4726, 4766, 4842]"
92,"['HOXB9', 'ctrl']",[3500],41135,41491,"[50, 150, 400, 508, 852, 1107, 1483, 1723, 2334, 2391, 2529, 2621, 2707, 2738, 2740, 2761, 3639, 4186, 4209, 4842]"
93,"['DUSP9', 'PRTG']","[2176, 6196]",41491,41729,"[719, 1288, 1289, 1753, 2084, 2135, 2139, 2223, 2620, 2621, 3430, 3758, 3776, 3898, 4150, 4502, 4504, 4507, 4687, 4789]"
94,"['ctrl', 'HOXC13']",[3504],41729,41921,"[321, 400, 761, 852, 1288, 1383, 2018, 2243, 2740, 2761, 3551, 3561, 3682, 3722, 4209, 4502, 4504, 4624, 4842, 4907]"
95,"['MAPK1', 'IKZF3']","[4328, 3658]",41921,42185,"[94, 719, 1288, 1489, 1676, 2084, 2470, 2589, 2620, 2621, 2680, 2702, 2711, 2761, 3214, 3758, 4727, 4766, 4851, 4953]"
96,"['ctrl', 'UBASH3B']",[8700],42185,42698,"[160, 663, 1667, 2084, 2135, 2264, 2353, 2620, 2621, 2738, 2848, 3430, 3758, 3760, 4504, 4687, 4700, 4842, 4849, 5022]"
97,"['LHX1', 'ELMSAN1']","[4092, 2354]",42698,43245,"[838, 1219, 1483, 1664, 2058, 2470, 2620, 2621, 2699, 2710, 2854, 3297, 3544, 3825, 4114, 4115, 4403, 4504, 4675, 4726]"
98,"['ctrl', 'HOXB9']",[3500],43245,43501,"[253, 400, 678, 852, 921, 1107, 1607, 1621, 1723, 1753, 2427, 2470, 2529, 2740, 2761, 3634, 4186, 4209, 4350, 4842]"
99,"['CKS1B', 'ctrl']",[1436],43501,43690,"[508, 607, 635, 1201, 1393, 1421, 1625, 2149, 2150, 2264, 2699, 2761, 3427, 3674, 3730, 3758, 4517, 4700, 4726, 4727]"
100,"['ETS2', 'ctrl']",[2493],43690,44065,"[94, 95, 309, 663, 1664, 1676, 2084, 2138, 2589, 2620, 2621, 2761, 3102, 3758, 3894, 4236, 4650, 4687, 4727, 4994]"
101,"['CLDN6', 'ctrl']",[1448],44065,44346,"[838, 842, 843, 905, 1288, 2058, 2135, 2621, 2711, 3758, 3760, 3783, 4504, 4687, 4726, 4727, 4762, 4766, 4789, 4842]"
102,"['FOXA3', 'ctrl']",[2798],44346,44755,"[400, 541, 852, 1288, 1682, 2084, 2135, 2334, 2711, 2761, 3186, 3243, 3430, 3898, 4209, 4504, 4732, 4738, 4842, 5033]"
103,"['CEBPE', 'ctrl']",[1277],44755,45228,"[214, 665, 1288, 1289, 1483, 1490, 1663, 1664, 1771, 2084, 2138, 2493, 2621, 2699, 2892, 3460, 3772, 3867, 4565, 4953]"
104,"['KIF18B', 'KIF2C']","[3922, 3932]",45228,45311,"[224, 292, 565, 666, 765, 821, 1334, 1644, 2453, 2704, 3035, 3207, 3626, 3822, 3923, 4091, 4110, 4252, 4512, 4631]"
105,"['ctrl', 'SAMD1']",[6967],45311,45489,"[150, 1027, 1580, 2380, 2621, 2740, 2835, 2952, 3000, 3275, 3561, 3617, 3758, 3760, 3891, 4504, 4543, 4618, 4726, 4927]"
106,"['BCL2L11', 'TGFBR2']","[751, 8105]",45489,45871,"[94, 663, 699, 842, 903, 1288, 1289, 1753, 1764, 2135, 2470, 2592, 2621, 2937, 3163, 3758, 3898, 4504, 4687, 4789]"
107,"['AHR', 'KLF1']","[190, 3948]",45871,46283,"[94, 308, 309, 339, 373, 663, 2264, 2351, 2620, 2621, 2761, 3667, 3758, 3760, 4130, 4580, 4588, 4700, 4756, 4907]"
108,"['COL1A1', 'ctrl']",[1551],46283,46540,"[150, 852, 1294, 1483, 1625, 1636, 2149, 2321, 2621, 2761, 2944, 3989, 4144, 4202, 5031, 5032, 5034, 5035, 5039, 5041]"
109,"['CEBPB', 'CEBPA']","[1275, 1274]",46540,46615,"[90, 142, 260, 637, 873, 990, 1663, 1783, 2944, 3682, 3783, 3788, 4173, 4377, 4461, 4535, 4569, 4761, 4932, 5002]"
110,"['PTPN12', 'UBASH3A']","[6288, 8699]",46615,46870,"[283, 309, 663, 749, 1288, 1554, 2084, 2135, 2264, 2621, 2940, 3000, 3758, 3760, 4504, 4687, 4700, 4726, 4727, 5022]"
111,"['FOXF1', 'ctrl']",[2810],46870,47318,"[323, 431, 634, 1126, 1688, 1753, 2135, 2470, 2673, 2761, 2811, 3429, 3430, 3758, 3772, 3898, 3965, 4130, 4624, 4743]"
112,"['ZBTB1', 'ctrl']",[9151],47318,47633,"[94, 838, 1236, 1288, 1289, 2502, 2620, 2621, 2738, 2740, 3214, 3758, 3760, 3970, 4173, 4291, 4504, 4700, 4756, 5022]"
113,"['FEV', 'MAP7D1']","[2719, 4326]",47633,47879,"[42, 94, 130, 373, 678, 838, 839, 1288, 1819, 2058, 2620, 2621, 2761, 2892, 3211, 3214, 3776, 4504, 4507, 4727]"
114,"['PRTG', 'ctrl']",[6196],47879,48164,"[25, 390, 418, 1288, 1289, 1383, 1753, 2135, 2380, 2620, 2621, 3430, 3662, 3758, 3895, 3898, 4504, 4842, 5039, 5042]"
115,"['PLK4', 'ctrl']",[5857],48164,48261,"[426, 844, 935, 1178, 1662, 2046, 2230, 3037, 3561, 3623, 3696, 3722, 4160, 4500, 4534, 4595, 4631, 4640, 4926, 5019]"
116,"['BPGM', 'ctrl']",[824],48261,48654,"[495, 553, 663, 1288, 2023, 2084, 2135, 2621, 2710, 3194, 3758, 3760, 4173, 4504, 4700, 4900, 5022, 5035, 5039, 5042]"
117,"['ARRDC3', 'ctrl']",[508],48654,49059,"[166, 338, 564, 729, 824, 1043, 1098, 1126, 1437, 1601, 1625, 2711, 2738, 3547, 3758, 3904, 4092, 4743, 4953, 4991]"
118,"['ETS2', 'CNN1']","[2493, 1509]",49059,49844,"[160, 166, 719, 1676, 2135, 2264, 2470, 2761, 3305, 3529, 3758, 3776, 4173, 4504, 4579, 4650, 4700, 4825, 4842, 4994]"
119,"['C3orf72', 'ctrl']",[961],49844,50061,"[283, 838, 1038, 1046, 2135, 2711, 2738, 2740, 2761, 2833, 2835, 2952, 3385, 3430, 3674, 3772, 4263, 4730, 4766, 4965]"
120,"['CNN1', 'MAPK1']","[1509, 4328]",50061,50386,"[94, 842, 1664, 1676, 2084, 2090, 2470, 2589, 2761, 3102, 3529, 3776, 3894, 4236, 4504, 4579, 4650, 4687, 4851, 4994]"
121,"['FOXL2', 'MEIS1']","[2823, 4466]",50386,50563,"[218, 838, 1046, 1178, 1288, 2135, 2334, 2391, 2474, 2673, 2711, 2740, 2761, 3385, 3685, 3772, 4504, 4766, 4828, 4927]"
122,"['LYL1', 'ctrl']",[4229],50563,50923,"[468, 581, 833, 838, 946, 1178, 2349, 2702, 2752, 3131, 3555, 3561, 3758, 4071, 4263, 4592, 4687, 4727, 4735, 4756]"
123,"['ctrl', 'MAP2K6']",[4308],50923,51301,"[321, 326, 403, 719, 778, 889, 1126, 1667, 2470, 2711, 2761, 2811, 2919, 3187, 3750, 4421, 4509, 4650, 4810, 5022]"
124,"['SGK1', 'ctrl']",[7168],51301,51747,"[132, 188, 1288, 1723, 1814, 2135, 2620, 2621, 2738, 2740, 2761, 2854, 3305, 3667, 4504, 4687, 4743, 4766, 4842, 5022]"
125,"['MAPK1', 'TGFBR2']","[4328, 8105]",51747,52136,"[94, 95, 309, 663, 1664, 1676, 2084, 2090, 2470, 2589, 2620, 2621, 2761, 3102, 4236, 4650, 4687, 4727, 4851, 4994]"
126,"['ctrl', 'DLX2']",[2023],52136,52426,"[308, 400, 455, 761, 1219, 1436, 1723, 1845, 2613, 2620, 2621, 2761, 2892, 3305, 3758, 3803, 4173, 4618, 4624, 4766]"
