Accession	Begin	End	Chromosome	Orientation	Name	Symbol	Gene ID	Gene Type	Transcripts accession	Protein accession	Protein length	Locus tag
NC_000913.3	44180	45466		plus	putative oxidoreductase FixC	fixC	948958	protein-coding		NP_414585.1	428	b0043
NC_000913.3	45463	45750		plus	putative ferredoxin FixX	fixX	948590	protein-coding		NP_414586.1	95	b0044
NC_000913.3	45807	47138		plus	putative transporter YaaU	yaaU	944766	protein-coding		NP_414587.1	443	b0045
NC_000913.3	47246	47776		plus	regulator of KefC-mediated potassium transport and quinone oxidoreductase	kefF	944767	protein-coding		NP_414588.1	176	b0046
NC_000913.3	47769	49631		plus	K(+) : H(+) antiporter KefC	kefC	944773	protein-coding		NP_414589.1	620	b0047
NC_000913.3	49823	50302		plus	dihydrofolate reductase	folA	944790	protein-coding		NP_414590.1	159	b0048
NC_000913.3	50380	51222		minus	diadenosine tetraphosphatase	apaH	944770	protein-coding		NP_414591.1	280	b0049
NC_000913.3	51229	51606		minus	DUF525 domain-containing protein ApaG	apaG	944772	protein-coding		NP_414592.1	125	b0050
NC_000913.3	51609	52430		minus	16S rRNA m(6)2A1518,m(6)2A1519 dimethyltransferase	rsmA	944939	protein-coding		NP_414593.1	273	b0051
NC_000913.3	52427	53416		minus	4-hydroxythreonine-4-phosphate dehydrogenase	pdxA	944919	protein-coding		NP_414594.1	329	b0052
NC_000913.3	53416	54702		minus	chaperone SurA	surA	944812	protein-coding		NP_414595.1	428	b0053
NC_000913.3	54755	57109		minus	lipopolysaccharide assembly protein LptD	lptD	945011	protein-coding		NP_414596.1	784	b0054
NC_000913.3	57364	58179		plus	co-chaperone protein DjlA	djlA	948992	protein-coding		NP_414597.1	271	b0055
NC_000913.3	58474	59124		plus	putative uncharacterized protein YabP	yabP	945039	protein-coding		YP_009518734.1	216	b0056
NC_000913.3	59121	59279		plus	protein YabQ	yabQ	38094933	protein-coding		YP_009518735.1	52	b0057
NC_000913.3	59687	60346		minus	23S rRNA pseudouridine(746) and tRNA pseudouridine(32) synthase	rluA	946262	protein-coding		NP_414600.1	219	b0058
NC_000913.3	60358	63264		minus	RNA polymerase-binding ATPase and RNAP recycling factor	rapA	948523	protein-coding		NP_414601.1	968	b0059
NC_000913.3	63429	65780		minus	DNA polymerase II	polB	944779	protein-coding		NP_414602.1	783	b0060
NC_000913.3	65855	66550		minus	L-ribulose-5-phosphate 4-epimerase AraD	araD	945294	protein-coding		NP_414603.1	231	b0061
NC_000913.3	66835	68337		minus	L-arabinose isomerase	araA	947511	protein-coding		NP_414604.1	500	b0062
NC_000913.3	68348	70048		minus	ribulokinase	araB	946017	protein-coding		NP_414605.1	566	b0063
NC_000913.3	70387	71265		plus	DNA-binding transcriptional dual regulator AraC	araC	944780	protein-coding		NP_414606.1	292	b0064
NC_000913.3	71351	72115		plus	DedA family protein YabI	yabI	944783	protein-coding		NP_414607.1	254	b0065
NC_000913.3	72229	72927		minus	thiamine ABC transporter ATP binding subunit	thiQ	944785	protein-coding		NP_414608.1	232	b0066
NC_000913.3	72911	74521		minus	thiamine ABC transporter membrane subunit	thiP	944784	protein-coding		NP_414609.1	536	b0067
NC_000913.3	74497	75480		minus	thiamine ABC transporter periplasmic binding protein	thiB	946306	protein-coding		NP_414610.1	327	b0068
NC_000913.3	75516	75608		minus	small RNA SroA	sroA	63925622	ncRNA				b4762
NC_000913.3	75644	77299		minus	DNA-binding transcriptional dual regulator SgrR	sgrR	944788	protein-coding		NP_414611.1	551	b0069
NC_000913.3	77367	77593		plus	small regulatory RNA SgrS	sgrS	4056038	ncRNA				b4577
NC_000913.3	77388	77519		plus	PtsG glucose transporter inhibitor	sgrT	7751624	protein-coding		YP_002791237.1	43	b4662
NC_000913.3	77621	78799		plus	sugar exporter SetA	setA	944793	protein-coding		YP_025293.1	392	b0070
NC_000913.3	78848	79453		minus	3-isopropylmalate dehydratase subunit LeuD	leuD	945642	protein-coding		NP_414613.1	201	b0071
NC_000913.3	79464	80864		minus	3-isopropylmalate dehydratase subunit LeuC	leuC	945076	protein-coding		NP_414614.1	466	b0072
NC_000913.3	80867	81958		minus	3-isopropylmalate dehydrogenase	leuB	944798	protein-coding		NP_414615.4	363	b0073
NC_000913.3	81958	83529		minus	2-isopropylmalate synthase	leuA	947465	protein-coding		NP_414616.1	523	b0074
NC_000913.3	83622	83708		minus	leu operon leader peptide	leuL	946072	protein-coding		NP_414617.1	28	b0075
NC_000913.3	84368	85312		plus	DNA-binding transcriptional dual regulator LeuO	leuO	949034	protein-coding		NP_414618.4	314	b0076
NC_000913.3	85467	85511		minus	protein YabR	yabR	38094934	protein-coding		YP_009518736.1	14	b4726
NC_000913.3	85630	87354		plus	acetolactate synthase/acetohydroxybutanoate synthase, catalytic subunit	ilvI	948793	protein-coding		YP_025294.2	574	b0077
NC_000913.3	87357	87848		plus	acetolactate synthase/acetohydroxybutanoate synthase, regulatory subunit	ilvH	947267	protein-coding		NP_414620.1	163	b0078
NC_000913.3	88028	89032		plus	DNA-binding transcriptional dual regulator Cra	cra	944804	protein-coding		NP_414622.1	334	b0080
NC_000913.3	89634	90092		plus	DNA-binding transcriptional repressor MraZ	mraZ	944810	protein-coding		NP_414623.1	152	b0081
NC_000913.3	90094	91035		plus	16S rRNA m(4)C1402 methyltransferase	rsmH	944806	protein-coding		NP_414624.1	313	b0082
NC_000913.3	91032	91397		plus	cell division protein FtsL	ftsL	944803	protein-coding		NP_414625.1	121	b0083
NC_000913.3	91413	93179		plus	peptidoglycan DD-transpeptidase FtsI	ftsI	944799	protein-coding		NP_414626.1	588	b0084
NC_000913.3	92485	92658		plus	small regulatory RNA FtsO	ftsO	71004551	ncRNA				b4810
NC_000913.3	93166	94653		plus	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase	murE	944791	protein-coding		NP_414627.1	495	b0085
NC_000913.3	94650	96008		plus	D-alanyl-D-alanine-adding enzyme	murF	944813	protein-coding		NP_414628.1	452	b0086
NC_000913.3	96002	97084		plus	phospho-N-acetylmuramoyl-pentapeptide-transferase	mraY	944814	protein-coding		NP_414629.1	360	b0087
NC_000913.3	97087	98403		plus	UDP-N-acetylmuramoyl-L-alanine--D-glutamate ligase	murD	944818	protein-coding		NP_414630.1	438	b0088
NC_000913.3	98403	99647		plus	peptidoglycan glycosyltransferase FtsW	ftsW	946322	protein-coding		NP_414631.1	414	b0089
NC_000913.3	99644	100711		plus	N-acetylglucosaminyl transferase	murG	946321	protein-coding		NP_414632.1	355	b0090
NC_000913.3	100765	102240		plus	UDP-N-acetylmuramate--L-alanine ligase	murC	946153	protein-coding		NP_414633.1	491	b0091
NC_000913.3	102233	103153		plus	D-alanine--D-alanine ligase B	ddlB	946324	protein-coding		NP_414634.1	306	b0092
NC_000913.3	103155	103985		plus	cell division protein FtsQ	ftsQ	944823	protein-coding		NP_414635.1	276	b0093
NC_000913.3	103982	105244		plus	cell division protein FtsA	ftsA	944778	protein-coding		NP_414636.1	420	b0094
NC_000913.3	105305	106456		plus	cell division protein FtsZ	ftsZ	944786	protein-coding		NP_414637.1	383	b0095
NC_000913.3	106557	107474		plus	UDP-3-O-acyl-N-acetylglucosamine deacetylase	lpxC	944816	protein-coding		NP_414638.1	305	b0096
NC_000913.3	107705	108217		plus	SecA translation regulator	secM	944831	protein-coding		NP_414639.2	170	b0097
NC_000913.3	108279	110984		plus	protein translocation ATPase	secA	944821	protein-coding		NP_414640.1	901	b0098
NC_000913.3	111044	111433		plus	8-oxo-dGTP diphosphatase	mutT	944824	protein-coding		NP_414641.1	129	b0099
NC_000913.3	111649	111846		minus	DNA gyrase inhibitor YacG	yacG	945630	protein-coding		NP_414643.1	65	b0101
NC_000913.3	111856	112599		minus	cell division factor ZapD	zapD	944873	protein-coding		NP_414644.1	247	b0102
NC_000913.3	112599	113219		minus	dephospho-CoA kinase	coaE	949060	protein-coding		NP_414645.1	206	b0103
NC_000913.3	113244	113288		plus	protein YacM	yacM	38094935	protein-coding		YP_009518737.1	14	b4727
NC_000913.3	113444	114487		plus	GMP reductase	guaC	948986	protein-coding		NP_414646.1	347	b0104
NC_000913.3	114522	115724		minus	inner membrane protein HofC	hofC	945806	protein-coding		NP_414648.1	400	b0106
NC_000913.3	115714	117099		minus	T2SSE family protein	hofB	947481	protein-coding		NP_414649.1	461	b0107
NC_000913.3	117109	117549		minus	prepilin-type N-terminal cleavage/methylation domain-containing protein PpdD	ppdD	945817	protein-coding		NP_414650.1	146	b0108
NC_000913.3	117752	118645		minus	quinolinate phosphoribosyltransferase (decarboxylating)	nadC	948869	protein-coding		NP_414651.1	297	b0109
NC_000913.3	118733	119284		plus	1,6-anhydro-N-acetylmuramoyl-L-alanine amidase	ampD	948877	protein-coding		NP_414652.1	183	b0110
NC_000913.3	119281	120135		plus	protein AmpE	ampE	946678	protein-coding		NP_414653.1	284	b0111
NC_000913.3	120178	121551		minus	aromatic amino acid:H(+) symporter AroP	aroP	946018	protein-coding		NP_414654.1	457	b0112
NC_000913.3	122092	122856		plus	DNA-binding transcriptional dual regulator PdhR	pdhR	944827	protein-coding		NP_414655.1	254	b0113
NC_000913.3	123017	125680		plus	pyruvate dehydrogenase E1 component	aceE	944834	protein-coding		NP_414656.1	887	b0114
NC_000913.3	125695	127587		plus	pyruvate dehydrogenase, E2 subunit	aceF	944794	protein-coding		NP_414657.1	630	b0115
NC_000913.3	127912	129336		plus	lipoamide dehydrogenase	lpd	944854	protein-coding		NP_414658.1	474	b0116
NC_000913.3	129407	131260		minus	DUF3300 domain-containing protein YacH	yacH	944868	protein-coding		NP_414659.1	617	b0117
NC_000913.3	131615	134212		plus	AcnB	acnB	944864	protein-coding		NP_414660.1	865	b0118
NC_000913.3	134388	134750		plus	PF06062 family protein YacL	yacL	944809	protein-coding		NP_414661.2	120	b0119
NC_000913.3	134788	135582		minus	S-adenosylmethionine decarboxylase proenzyme	speD	947719	protein-coding		NP_414662.1	264	b0120
NC_000913.3	135598	136464		minus	spermidine synthase	speE	947726	protein-coding		NP_414663.1	288	b0121
NC_000913.3	136570	136917		minus	putative lipoprotein YacC	yacC	948472	protein-coding		NP_414664.4	115	b0122
NC_000913.3	137083	138633		plus	multicopper oxidase CueO	cueO	947736	protein-coding		NP_414665.1	516	b0123
NC_000913.3	138835	141225		minus	quinoprotein glucose dehydrogenase	gcd	944830	protein-coding		NP_414666.1	796	b0124
NC_000913.3	141431	141967		plus	hypoxanthine phosphoribosyltransferase	hpt	946624	protein-coding		NP_414667.4	178	b0125
NC_000913.3	142008	142670		minus	carbonic anhydrase 2	can	944832	protein-coding		NP_414668.1	220	b0126
NC_000913.3	142779	143705		plus	putative ABC transporter ATP-binding protein YadG	yadG	944833	protein-coding		NP_414669.1	308	b0127
NC_000913.3	143702	144472		plus	putative ABC transporter membrane subunit YadH	yadH	944836	protein-coding		NP_414670.1	256	b0128
NC_000913.3	144577	145017		plus	putative PTS enzyme IIA component YadI	yadI	947397	protein-coding		NP_414671.1	146	b0129
NC_000913.3	145081	146310		plus	putative polysaccharide deacetylase lipoprotein YadE	yadE	946536	protein-coding		NP_414672.1	409	b0130
NC_000913.3	146314	146694		minus	aspartate 1-decarboxylase proenzyme	panD	945686	protein-coding		NP_414673.1	126	b0131
NC_000913.3	146968	147870		plus	recombination-promoting nuclease RpnC	rpnC	944781	protein-coding		NP_414674.1	300	b0132
NC_000913.3	147944	148795		minus	pantothenate synthetase	panC	944958	protein-coding		NP_414675.1	283	b0133
NC_000913.3	148807	149601		minus	3-methyl-2-oxobutanoate hydroxymethyltransferase	panB	944839	protein-coding		NP_414676.1	264	b0134
NC_000913.3	149715	150953		minus	fimbrial tip-adhesin YadC	yadC	944837	protein-coding		NP_414677.1	412	b0135
NC_000913.3	151003	151599		minus	putative fimbrial protein YadK	yadK	944835	protein-coding		NP_414678.1	198	b0136
NC_000913.3	151626	152231		minus	putative fimbrial protein YadL	yadL	944829	protein-coding		NP_414679.1	201	b0137
NC_000913.3	152243	152812		minus	putative fimbrial protein YadM	yadM	944828	protein-coding		NP_414680.4	189	b0138
NC_000913.3	152829	155426		minus	putative fimbrial usher protein HtrE	htrE	944819	protein-coding		NP_414681.1	865	b0139
NC_000913.3	155461	156201		minus	putative fimbrial chaperone YadV	yadV	944859	protein-coding		NP_414682.1	246	b0140
NC_000913.3	156299	156883		minus	putative fimbrial protein YadN	yadN	944841	protein-coding		NP_414683.1	194	b0141
NC_000913.3	157253	157732		minus	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase	folK	948792	protein-coding		NP_414684.1	159	b0142
NC_000913.3	157729	159126		minus	poly(A) polymerase I	pcnB	947318	protein-coding		NP_414685.4	465	b0143
NC_000913.3	159186	160112		minus	glutamyl-Q tRNA(Asp) synthetase	gluQ	944846	protein-coding		NP_414686.3	308	b0144
NC_000913.3	160149	160604		minus	RNA polymerase-binding transcription factor DksA	dksA	944850	protein-coding		NP_414687.1	151	b0145
NC_000913.3	160782	161486		minus	sugar fermentation stimulation protein A	sfsA	944855	protein-coding		NP_414688.1	234	b0146
NC_000913.3	161501	162031		minus	RNA 2',3'-cyclic phosphodiesterase	thpR	944848	protein-coding		NP_414689.4	176	b0147
NC_000913.3	162105	164534		plus	RNA-dependent NTPase HrpB	hrpB	944845	protein-coding		NP_414690.4	809	b0148
NC_000913.3	164730	167264		plus	peptidoglycan glycosyltransferase/peptidoglycan DD-transpeptidase MrcB	mrcB	944843	protein-coding		NP_414691.1	844	b0149
NC_000913.3	167484	169727		plus	ferrichrome outer membrane transporter/phage receptor	fhuA	944856	protein-coding		NP_414692.1	747	b0150
NC_000913.3	169778	170575		plus	iron(III) hydroxamate ABC transporter ATP binding subunit	fhuC	945250	protein-coding		NP_414693.1	265	b0151
NC_000913.3	170575	171465		plus	iron(III) hydroxamate ABC transporter periplasmic binding protein	fhuD	947510	protein-coding		NP_414694.1	296	b0152
NC_000913.3	171462	173444		plus	iron(III) hydroxamate ABC transporter membrane subunit	fhuB	946890	protein-coding		NP_414695.1	660	b0153
NC_000913.3	173602	174882		minus	glutamate-1-semialdehyde 2,1-aminomutase	hemL	946892	protein-coding		NP_414696.1	426	b0154
NC_000913.3	175048	175095		plus	protein YadX	yadX	63925623	protein-coding		YP_010051173.1	15	b4765
NC_000913.3	175107	176528		plus	chloride:H(+) antiporter ClcA	clcA	946715	protein-coding		NP_414697.1	473	b0155
NC_000913.3	176552	176617		plus	protein YadW	yadW	38094936	protein-coding		YP_009518738.1	21	b4728
NC_000913.3	176610	176954		plus	iron-sulfur cluster insertion protein ErpA	erpA	944857	protein-coding		NP_414698.1	114	b0156
NC_000913.3	177001	177624		minus	PF03458 family protein YadS	yadS	949062	protein-coding		NP_414699.1	207	b0157
NC_000913.3	177662	178462		minus	vitamin B12 ABC transporter periplasmic binding protein	btuF	947574	protein-coding		NP_414700.1	266	b0158
NC_000913.3	178455	179153		minus	5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase	mtn	948542	protein-coding		NP_414701.1	232	b0159
NC_000913.3	179237	180754		plus	dGTP triphosphohydrolase	dgt	947177	protein-coding		NP_414702.1	505	b0160
NC_000913.3	180884	182308		plus	periplasmic serine endoprotease DegP	degP	947139	protein-coding		NP_414703.1	474	b0161
NC_000913.3	182463	183620		plus	DNA-binding transcriptional activator CdaR	cdaR	944860	protein-coding		NP_414704.4	385	b0162
NC_000913.3	183709	184095		minus	DUF3461 domain-containing protein YaeH	yaeH	947044	protein-coding		NP_414705.1	128	b0163
NC_000913.3	184257	185069		minus	phosphodiesterase YaeI	yaeI	945002	protein-coding		NP_414706.2	270	b0164
NC_000913.3	185123	185947		minus	tetrahydrodipicolinate succinylase	dapD	944862	protein-coding		NP_414708.1	274	b0166
NC_000913.3	185978	188650		minus	protein-PII uridylyltransferase/uridylyl-removing enzyme	glnD	944863	protein-coding		NP_414709.1	890	b0167
NC_000913.3	188712	189506		minus	methionine aminopeptidase	map	947882	protein-coding		NP_414710.1	264	b0168
NC_000913.3	189712	189847		plus	putative small RNA T44	tff	2847773	ncRNA				b4414
NC_000913.3	189874	190599		plus	30S ribosomal subunit protein S2	rpsB	947874	protein-coding		NP_414711.1	241	b0169
NC_000913.3	190857	191708		plus	protein chain elongation factor EF-Ts	tsf	944866	protein-coding		NP_414712.1	283	b0170
NC_000913.3	191855	192580		plus	UMP kinase	pyrH	944989	protein-coding		NP_414713.1	241	b0171
NC_000913.3	192872	193429		plus	ribosome-recycling factor	frr	946122	protein-coding		NP_414714.1	185	b0172
NC_000913.3	193521	194717		plus	1-deoxy-D-xylulose 5-phosphate reductoisomerase	dxr	945019	protein-coding		NP_414715.1	398	b0173
NC_000913.3	194784	194844		plus	small regulatory RNA IspZ	ispZ	71004552	ncRNA				b4809
NC_000913.3	194903	195664		plus	ditrans,polycis-undecaprenyl-diphosphate synthase [(2E,6E)-farnesyl-diphosphate specific]	ispU	944874	protein-coding		NP_414716.1	253	b0174
NC_000913.3	195677	196534		plus	CDP-diglyceride synthetase	cdsA	944876	protein-coding		NP_414717.2	285	b0175
NC_000913.3	196546	197898		plus	intramembrane zinc metalloprotease RseP	rseP	944871	protein-coding		NP_414718.1	450	b0176
NC_000913.3	197928	200360		plus	outer membrane protein assembly factor BamA	bamA	944870	protein-coding		NP_414719.1	810	b0177
NC_000913.3	200482	200967		plus	periplasmic chaperone Skp	skp	944861	protein-coding		NP_414720.1	161	b0178
NC_000913.3	200971	201996		plus	UDP-3-O-(3-hydroxymyristoyl)glucosamine N-acyltransferase	lpxD	944882	protein-coding		NP_414721.1	341	b0179
NC_000913.3	202101	202556		plus	3-hydroxy-acyl-[acyl-carrier-protein] dehydratase	fabZ	944888	protein-coding		NP_414722.1	151	b0180
NC_000913.3	202560	203348		plus	acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase	lpxA	944849	protein-coding		NP_414723.1	262	b0181
NC_000913.3	203348	204496		plus	lipid A disaccharide synthase	lpxB	944838	protein-coding		NP_414724.1	382	b0182
NC_000913.3	204493	205089		plus	RNase HII	rnhB	944852	protein-coding		NP_414725.1	198	b0183
NC_000913.3	205126	208608		plus	DNA polymerase III subunit alpha	dnaE	944877	protein-coding		NP_414726.1	1160	b0184
NC_000913.3	208621	209580		plus	acetyl-CoA carboxyltransferase subunit alpha	accA	944895	protein-coding		NP_414727.1	319	b0185
NC_000913.3	209679	211820		plus	lysine decarboxylase 2	ldcC	944887	protein-coding		NP_414728.1	713	b0186
NC_000913.3	211877	212266		plus	VOC domain-containing protein YaeR	yaeR	944875	protein-coding		NP_414729.4	129	b0187
NC_000913.3	212331	213629		plus	tRNA(Ile)-lysidine synthetase	tilS	944889	protein-coding		NP_414730.1	432	b0188
NC_000913.3	213678	213932		minus	modulator of Rho-dependent transcription termination	rof	944891	protein-coding		NP_414731.2	84	b0189
NC_000913.3	213925	214125		minus	PF06786 family protein YaeP	yaeP	1450233	protein-coding		YP_026160.1	66	b4406
NC_000913.3	214291	214836		plus	uncharacterized protein YaeQ	yaeQ	946809	protein-coding		NP_414732.1	181	b0190
NC_000913.3	214833	215255		plus	peptidyl-tRNA hydrolase, ribosome rescue factor	arfB	946046	protein-coding		NP_414733.1	140	b0191
NC_000913.3	215269	215979		plus	sensor lipoprotein NlpE	nlpE	946782	protein-coding		NP_414734.1	236	b0192
NC_000913.3	216179	217003		minus	peptidase C92 family protein YaeF	yaeF	944892	protein-coding		NP_414735.4	274	b0193
NC_000913.3	217057	218775		minus	proline--tRNA ligase	proS	949116	protein-coding		NP_414736.1	572	b0194
NC_000913.3	218887	219594		minus	tRNA m(6)t(6)A37 methyltransferase	trmO	949112	protein-coding		NP_414737.1	235	b0195
NC_000913.3	219591	219995		minus	sensor lipoprotein RcsF	rcsF	949113	protein-coding		NP_414738.1	134	b0196
NC_000913.3	220113	220928		minus	L-methionine/D-methionine ABC transporter membrane anchored binding protein	metQ	944893	protein-coding		NP_414739.1	271	b0197
NC_000913.3	220968	221621		minus	L-methionine/D-methionine ABC transporter membrane subunit	metI	944894	protein-coding		NP_414740.1	217	b0198
NC_000913.3	221614	222645		minus	L-methionine/D-methionine ABC transporter ATP binding subunit	metN	944896	protein-coding		NP_414741.1	343	b0199
NC_000913.3	222833	223408		plus	D-glycero-beta-D-manno-heptose-1,7-bisphosphate 7-phosphatase	gmhB	944879	protein-coding		NP_414742.1	191	b0200
NC_000913.3	223771	225312		plus	16S ribosomal RNA	rrsH	944897	rRNA				b0201
NC_000913.3	225381	225457		plus	tRNA-Ile	ileV	944884	tRNA				b0202
NC_000913.3	225500	225575		plus	tRNA-Ala	alaV	944890	tRNA				b0203
NC_000913.3	225759	228662		plus	23S ribosomal RNA	rrlH	944900	rRNA				b0204
NC_000913.3	228756	228875		plus	5S ribosomal RNA	rrfH	944898	rRNA				b0205
NC_000913.3	228928	229004		plus	tRNA-Asp	aspU	944880	tRNA				b0206
NC_000913.3	229167	229970		plus	methylglyoxal reductase DkgB	dkgB	944901	protein-coding		NP_414743.1	267	b0207
NC_000913.3	229967	230881		minus	DNA-binding transcriptional regulator YafC	yafC	947507	protein-coding		NP_414744.1	304	b0208
NC_000913.3	231122	231922		plus	endonuclease/exonuclease/phosphatase domain-containing protein YafD	yafD	946286	protein-coding		NP_414745.1	266	b0209
NC_000913.3	231926	232549		plus	putative S-adenosylmethionine-dependent methyltransferase	yafE	946197	protein-coding		NP_414746.1	207	b0210
NC_000913.3	232597	233955		minus	membrane-bound lytic murein transglycosylase D	mltD	945694	protein-coding		NP_414747.1	452	b0211
NC_000913.3	234027	234782		minus	hydroxyacylglutathione hydrolase GloB	gloB	944902	protein-coding		NP_414748.1	251	b0212
NC_000913.3	234288	234320		plus	protein YkfO	ykfO	71004553	protein-coding		YP_010283908.1	10	b4815
NC_000913.3	234816	235538		plus	putative S-adenosyl-L-methionine-dependent methyltransferase	yafS	944903	protein-coding		NP_414749.2	240	b0213
NC_000913.3	235535	236002		minus	ribonuclease HI	rnhA	946955	protein-coding		NP_414750.1	155	b0214
NC_000913.3	236067	236798		plus	DNA polymerase III subunit epsilon	dnaQ	946441	protein-coding		NP_414751.1	243	b0215
NC_000913.3	236931	237007		plus	tRNA-Asp	aspV	947541	tRNA				b0216
NC_000913.3	237335	238120		plus	lipoprotein YafT	yafT	949009	protein-coding		NP_414752.1	261	b0217
NC_000913.3	238257	238736		minus	uncharacterized protein YkfM	ykfM	5061498	protein-coding		YP_001165307.1	159	b4586
NC_000913.3	238746	239084		minus	uncharacterized gene	yafU	946644	pseudogene				b0218
