,locus,symbol,ncbi,metadata_idx,semisup_idx,iml1515_idx,precise1k_idx
30,b0030,rihC,['NC_000913.3_cds_NP_414571.1_30'],[],24,10,29
31,b0031,dapB,['NC_000913.3_cds_NP_414572.1_31'],[],25,11,30
32,b0032,carA,['NC_000913.3_cds_NP_414573.1_32'],[],26,12,31
33,b0033,carB,['NC_000913.3_cds_NP_414574.1_33'],[],27,13,32
34,b0034,caiF,['NC_000913.3_cds_NP_414576.4_34'],[],28,-1,33
35,b0035,caiE,['NC_000913.3_cds_NP_414577.2_35'],[],29,-1,34
36,b0036,caiD,['NC_000913.3_cds_NP_414578.2_36'],[],30,14,35
37,b0037,caiC,['NC_000913.3_cds_NP_414579.4_37'],[],31,15,36
38,b0038,caiB,['NC_000913.3_cds_NP_414580.1_38'],[],32,16,37
39,b0039,caiA,['NC_000913.3_cds_NP_414581.1_39'],[],33,-1,38
40,b0040,caiT,['NC_000913.3_cds_NP_414582.1_40'],[],34,17,39
41,b0041,fixA,['NC_000913.3_cds_NP_414583.2_41'],[],35,-1,40
42,b0042,fixB,['NC_000913.3_cds_NP_414584.1_42'],[],36,-1,41
43,b0043,fixC,['NC_000913.3_cds_NP_414585.1_43'],[],37,-1,42
44,b0044,fixX,['NC_000913.3_cds_NP_414586.1_44'],[],38,-1,43
45,b0045,yaaU,['NC_000913.3_cds_NP_414587.1_45'],[],39,-1,44
46,b0046,kefF,['NC_000913.3_cds_NP_414588.1_46'],[],40,18,45
47,b0047,kefC,['NC_000913.3_cds_NP_414589.1_47'],[],41,19,46
48,b0048,folA,['NC_000913.3_cds_NP_414590.1_48'],[],42,20,47
49,b0049,apaH,['NC_000913.3_cds_NP_414591.1_49'],[],43,21,48
50,b0050,apaG,['NC_000913.3_cds_NP_414592.1_50'],[],44,-1,49
51,b0051,rsmA,['NC_000913.3_cds_NP_414593.1_51'],[],45,-1,50
52,b0052,pdxA,['NC_000913.3_cds_NP_414594.1_52'],[],46,22,51
53,b0053,surA,['NC_000913.3_cds_NP_414595.1_53'],[],47,-1,52
54,b0054,lptD,['NC_000913.3_cds_NP_414596.1_54'],[],48,23,53
55,b0055,djlA,['NC_000913.3_cds_NP_414597.1_55'],[],49,-1,54
56,b0056,yabP,['NC_000913.3_cds_YP_009518734.1_56'],[],50,-1,55
57,b0057,yabQ,['NC_000913.3_cds_YP_009518735.1_57'],[],51,-1,56
58,b0058,rluA,['NC_000913.3_cds_NP_414600.1_58'],[],52,-1,57
59,b0059,rapA,['NC_000913.3_cds_NP_414601.1_59'],[],53,-1,58
60,b0060,polB,['NC_000913.3_cds_NP_414602.1_60'],[],54,-1,59
61,b0061,araD,['NC_000913.3_cds_NP_414603.1_61'],[],55,24,60
62,b0062,araA,['NC_000913.3_cds_NP_414604.1_62'],[],56,25,61
63,b0063,araB,['NC_000913.3_cds_NP_414605.1_63'],[],57,26,62
64,b0064,araC,['NC_000913.3_cds_NP_414606.1_64'],[],58,-1,63
65,b0065,yabI,['NC_000913.3_cds_NP_414607.1_65'],[],59,-1,64
66,b0066,thiQ,['NC_000913.3_cds_NP_414608.1_66'],[],60,27,65
67,b0067,thiP,['NC_000913.3_cds_NP_414609.1_67'],[],61,28,66
68,b0068,thiB,['NC_000913.3_cds_NP_414610.1_68'],[],62,29,67
69,b4762,sroA,[],[],-1,-1,-1
70,b0069,sgrR,['NC_000913.3_cds_NP_414611.1_69'],[],63,-1,68
71,b4577,sgrS,[],[],-1,-1,-1
72,b4662,sgrT,['NC_000913.3_cds_YP_002791237.1_70'],[],-1,-1,69
73,b0070,setA,['NC_000913.3_cds_YP_025293.1_71'],[],64,30,70
74,b0071,leuD,['NC_000913.3_cds_NP_414613.1_72'],[],65,31,71
75,b0072,leuC,['NC_000913.3_cds_NP_414614.1_73'],[],66,32,72
76,b0073,leuB,['NC_000913.3_cds_NP_414615.4_74'],[],67,33,73
77,b0074,leuA,['NC_000913.3_cds_NP_414616.1_75'],[],68,34,74
78,b0075,leuL,['NC_000913.3_cds_NP_414617.1_76'],[],69,-1,75
79,b0076,leuO,['NC_000913.3_cds_NP_414618.4_77'],[],70,-1,76
80,b4726,yabR,['NC_000913.3_cds_YP_009518736.1_78'],[],-1,-1,77
81,b0077,ilvI,['NC_000913.3_cds_YP_025294.2_79'],[],71,35,78
82,b0078,ilvH,['NC_000913.3_cds_NP_414620.1_80'],[],72,36,79
83,b0080,cra,['NC_000913.3_cds_NP_414622.1_81'],[],73,-1,80
84,b0081,mraZ,['NC_000913.3_cds_NP_414623.1_82'],[],74,-1,81
85,b0082,rsmH,['NC_000913.3_cds_NP_414624.1_83'],[],75,-1,82
86,b0083,ftsL,['NC_000913.3_cds_NP_414625.1_84'],[],76,-1,83
87,b0084,ftsI,['NC_000913.3_cds_NP_414626.1_85'],[],77,37,84
88,b4810,ftsO,[],[],-1,-1,-1
89,b0085,murE,['NC_000913.3_cds_NP_414627.1_86'],[],78,38,85
90,b0086,murF,['NC_000913.3_cds_NP_414628.1_87'],[],79,39,86
91,b0087,mraY,['NC_000913.3_cds_NP_414629.1_88'],[],80,40,87
92,b0088,murD,['NC_000913.3_cds_NP_414630.1_89'],[],81,41,88
93,b0089,ftsW,['NC_000913.3_cds_NP_414631.1_90'],[],82,42,89
94,b0090,murG,['NC_000913.3_cds_NP_414632.1_91'],[],83,43,90
95,b0091,murC,['NC_000913.3_cds_NP_414633.1_92'],[],84,44,91
96,b0092,ddlB,['NC_000913.3_cds_NP_414634.1_93'],[],85,45,92
97,b0093,ftsQ,['NC_000913.3_cds_NP_414635.1_94'],[],86,-1,93
98,b0094,ftsA,['NC_000913.3_cds_NP_414636.1_95'],[],87,-1,94
99,b0095,ftsZ,['NC_000913.3_cds_NP_414637.1_96'],[],88,-1,95
100,b0096,lpxC,['NC_000913.3_cds_NP_414638.1_97'],[],89,46,96
101,b0097,secM,['NC_000913.3_cds_NP_414639.2_98'],[],90,-1,97
102,b0098,secA,['NC_000913.3_cds_NP_414640.1_99'],[],91,-1,98
103,b0099,mutT,['NC_000913.3_cds_NP_414641.1_100'],[],92,47,99
104,b0101,yacG,['NC_000913.3_cds_NP_414643.1_101'],[],93,-1,100
105,b0102,zapD,['NC_000913.3_cds_NP_414644.1_102'],[],94,-1,101
106,b0103,coaE,['NC_000913.3_cds_NP_414645.1_103'],[],95,48,102
107,b4727,yacM,['NC_000913.3_cds_YP_009518737.1_104'],[],-1,-1,103
108,b0104,guaC,['NC_000913.3_cds_NP_414646.1_105'],[],96,49,104
109,b0106,hofC,['NC_000913.3_cds_NP_414648.1_106'],[],97,-1,105
110,b0107,hofB,['NC_000913.3_cds_NP_414649.1_107'],[],98,-1,106
111,b0108,ppdD,['NC_000913.3_cds_NP_414650.1_108'],[],99,-1,107
112,b0109,nadC,['NC_000913.3_cds_NP_414651.1_109'],[],100,50,108
113,b0110,ampD,['NC_000913.3_cds_NP_414652.1_110'],[],101,51,109
114,b0111,ampE,['NC_000913.3_cds_NP_414653.1_111'],[],102,-1,110
115,b0112,aroP,['NC_000913.3_cds_NP_414654.1_112'],"[14, 15]",103,52,111
116,b0113,pdhR,['NC_000913.3_cds_NP_414655.1_113'],[],104,-1,112
117,b0114,aceE,['NC_000913.3_cds_NP_414656.1_114'],[],105,53,113
118,b0115,aceF,['NC_000913.3_cds_NP_414657.1_115'],[],106,54,114
119,b0116,lpd,['NC_000913.3_cds_NP_414658.1_116'],[],107,55,115
120,b0117,yacH,['NC_000913.3_cds_NP_414659.1_117'],[],108,-1,116
121,b0118,acnB,['NC_000913.3_cds_NP_414660.1_118'],[],109,56,117
122,b0119,yacL,['NC_000913.3_cds_NP_414661.2_119'],[],110,-1,118
123,b0120,speD,['NC_000913.3_cds_NP_414662.1_120'],[],111,57,119
124,b0121,speE,['NC_000913.3_cds_NP_414663.1_121'],[],112,58,120
125,b0122,yacC,['NC_000913.3_cds_NP_414664.4_122'],[],113,-1,121
126,b0123,cueO,['NC_000913.3_cds_NP_414665.1_123'],[],114,59,122
127,b0124,gcd,['NC_000913.3_cds_NP_414666.1_124'],[],115,60,123
128,b0125,hpt,['NC_000913.3_cds_NP_414667.4_125'],[],116,61,124
129,b0126,can,['NC_000913.3_cds_NP_414668.1_126'],[],117,62,125
130,b0127,yadG,['NC_000913.3_cds_NP_414669.1_127'],[],118,-1,126
131,b0128,yadH,['NC_000913.3_cds_NP_414670.1_128'],[],119,-1,127
132,b0129,yadI,['NC_000913.3_cds_NP_414671.1_129'],[],120,-1,128
133,b0130,yadE,['NC_000913.3_cds_NP_414672.1_130'],[],121,-1,129
134,b0131,panD,['NC_000913.3_cds_NP_414673.1_131'],[],122,63,130
135,b0132,rpnC,['NC_000913.3_cds_NP_414674.1_132'],[],-1,-1,131
136,b0133,panC,['NC_000913.3_cds_NP_414675.1_133'],[],123,64,132
137,b0134,panB,['NC_000913.3_cds_NP_414676.1_134'],[],124,65,133
138,b0135,yadC,['NC_000913.3_cds_NP_414677.1_135'],[],125,-1,134
139,b0136,yadK,['NC_000913.3_cds_NP_414678.1_136'],[],126,-1,135
140,b0137,yadL,['NC_000913.3_cds_NP_414679.1_137'],[],127,-1,136
141,b0138,yadM,['NC_000913.3_cds_NP_414680.4_138'],[],128,-1,137
142,b0139,htrE,['NC_000913.3_cds_NP_414681.1_139'],[],129,-1,138
143,b0140,yadV,['NC_000913.3_cds_NP_414682.1_140'],[],130,-1,139
144,b0141,yadN,['NC_000913.3_cds_NP_414683.1_141'],[],131,-1,140
145,b0142,folK,['NC_000913.3_cds_NP_414684.1_142'],[],132,66,141
146,b0143,pcnB,['NC_000913.3_cds_NP_414685.4_143'],[],133,-1,142
147,b0144,gluQ,['NC_000913.3_cds_NP_414686.3_144'],[],-1,-1,143
148,b0145,dksA,['NC_000913.3_cds_NP_414687.1_145'],[],134,-1,144
149,b0146,sfsA,['NC_000913.3_cds_NP_414688.1_146'],[],135,-1,145
150,b0147,thpR,['NC_000913.3_cds_NP_414689.4_147'],[],136,-1,146
151,b0148,hrpB,['NC_000913.3_cds_NP_414690.4_148'],[],137,-1,147
152,b0149,mrcB,"['NC_000913.3_cds_NP_414691.1_149', 'NC_000913.3_cds_YP_010051172.1_150']",[],138,67,148
153,b0150,fhuA,['NC_000913.3_cds_NP_414692.1_151'],[],139,68,149
154,b0151,fhuC,['NC_000913.3_cds_NP_414693.1_152'],[],140,69,150
155,b0152,fhuD,['NC_000913.3_cds_NP_414694.1_153'],[],141,70,151
156,b0153,fhuB,['NC_000913.3_cds_NP_414695.1_154'],[],142,71,152
157,b0154,hemL,['NC_000913.3_cds_NP_414696.1_155'],[],143,72,153
158,b4765,yadX,['NC_000913.3_cds_YP_010051173.1_156'],[],-1,-1,-1
159,b0155,clcA,['NC_000913.3_cds_NP_414697.1_157'],[],144,73,154
160,b4728,yadW,['NC_000913.3_cds_YP_009518738.1_158'],[],-1,-1,155
161,b0156,erpA,['NC_000913.3_cds_NP_414698.1_159'],[],145,-1,156
162,b0157,yadS,['NC_000913.3_cds_NP_414699.1_160'],[],146,-1,157
163,b0158,btuF,['NC_000913.3_cds_NP_414700.1_161'],[],147,74,158
164,b0159,mtn,['NC_000913.3_cds_NP_414701.1_162'],[],148,75,159
165,b0160,dgt,['NC_000913.3_cds_NP_414702.1_163'],[],149,76,160
166,b0161,degP,['NC_000913.3_cds_NP_414703.1_164'],[],150,-1,161
167,b0162,cdaR,['NC_000913.3_cds_NP_414704.4_165'],[],151,-1,162
168,b0163,yaeH,['NC_000913.3_cds_NP_414705.1_166'],[],152,-1,163
169,b0164,yaeI,['NC_000913.3_cds_NP_414706.2_167'],[],153,-1,164
170,b0166,dapD,['NC_000913.3_cds_NP_414708.1_168'],[],154,77,165
171,b0167,glnD,['NC_000913.3_cds_NP_414709.1_169'],[],155,-1,166
172,b0168,map,['NC_000913.3_cds_NP_414710.1_170'],[],156,-1,167
173,b4414,tff,[],[],-1,-1,-1
174,b0169,rpsB,['NC_000913.3_cds_NP_414711.1_171'],[],157,-1,168
175,b0170,tsf,['NC_000913.3_cds_NP_414712.1_172'],[],158,-1,169
176,b0171,pyrH,['NC_000913.3_cds_NP_414713.1_173'],[],159,78,170
177,b0172,frr,['NC_000913.3_cds_NP_414714.1_174'],[],160,-1,171
178,b0173,dxr,['NC_000913.3_cds_NP_414715.1_175'],[],161,79,172
179,b4809,ispZ,[],[],-1,-1,-1
180,b0174,ispU,['NC_000913.3_cds_NP_414716.1_176'],[],163,80,173
181,b0175,cdsA,['NC_000913.3_cds_NP_414717.2_177'],[],164,81,174
182,b0176,rseP,['NC_000913.3_cds_NP_414718.1_178'],[],165,-1,175
183,b0177,bamA,['NC_000913.3_cds_NP_414719.1_179'],[],166,-1,176
184,b0178,skp,['NC_000913.3_cds_NP_414720.1_180'],[],167,-1,177
185,b0179,lpxD,['NC_000913.3_cds_NP_414721.1_181'],[],168,82,178
186,b0180,fabZ,['NC_000913.3_cds_NP_414722.1_182'],[],169,83,179
187,b0181,lpxA,['NC_000913.3_cds_NP_414723.1_183'],[],170,84,180
188,b0182,lpxB,['NC_000913.3_cds_NP_414724.1_184'],[],171,85,181
189,b0183,rnhB,['NC_000913.3_cds_NP_414725.1_185'],[],172,-1,182
190,b0184,dnaE,['NC_000913.3_cds_NP_414726.1_186'],[],173,-1,183
191,b0185,accA,['NC_000913.3_cds_NP_414727.1_187'],[],174,86,184
192,b0186,ldcC,['NC_000913.3_cds_NP_414728.1_188'],[],175,87,185
193,b0187,yaeR,['NC_000913.3_cds_NP_414729.4_189'],[],176,-1,186
194,b0188,tilS,['NC_000913.3_cds_NP_414730.1_190'],[],177,-1,187
195,b0189,rof,['NC_000913.3_cds_NP_414731.2_191'],[],178,-1,188
196,b4406,yaeP,['NC_000913.3_cds_YP_026160.1_192'],[],179,-1,189
197,b0190,yaeQ,['NC_000913.3_cds_NP_414732.1_193'],[],180,-1,190
198,b0191,arfB,['NC_000913.3_cds_NP_414733.1_194'],[],181,-1,191
199,b0192,nlpE,['NC_000913.3_cds_NP_414734.1_195'],[],182,-1,192
200,b0193,yaeF,['NC_000913.3_cds_NP_414735.4_196'],[],183,-1,193
201,b0194,proS,['NC_000913.3_cds_NP_414736.1_197'],[],184,-1,194
202,b0195,trmO,['NC_000913.3_cds_NP_414737.1_198'],[],185,-1,195
203,b0196,rcsF,['NC_000913.3_cds_NP_414738.1_199'],[],186,-1,196
204,b0197,metQ,['NC_000913.3_cds_NP_414739.1_200'],[],187,88,197
205,b0198,metI,['NC_000913.3_cds_NP_414740.1_201'],[],188,89,198
206,b0199,metN,['NC_000913.3_cds_NP_414741.1_202'],[],189,90,199
207,b0200,gmhB,['NC_000913.3_cds_NP_414742.1_203'],[],190,91,200
208,b0201,rrsH,[],[],-1,-1,-1
209,b0202,ileV,[],[],-1,-1,-1
210,b0203,alaV,[],[],-1,-1,-1
211,b0204,rrlH,[],[],-1,-1,-1
212,b0205,rrfH,[],[],-1,-1,-1
213,b0206,aspU,[],[],-1,-1,-1
214,b0207,dkgB,['NC_000913.3_cds_NP_414743.1_204'],[],191,92,201
215,b0208,yafC,['NC_000913.3_cds_NP_414744.1_205'],[],192,-1,202
216,b0209,yafD,['NC_000913.3_cds_NP_414745.1_206'],[],193,-1,203
217,b0210,yafE,['NC_000913.3_cds_NP_414746.1_207'],[],194,-1,204
218,b0211,mltD,['NC_000913.3_cds_NP_414747.1_208'],[],195,93,205
219,b0212,gloB,['NC_000913.3_cds_NP_414748.1_209'],[],196,94,206
220,b4815,ykfO,['NC_000913.3_cds_YP_010283908.1_210'],[],-1,-1,-1
221,b0213,yafS,['NC_000913.3_cds_NP_414749.2_211'],[],197,-1,207
222,b0214,rnhA,['NC_000913.3_cds_NP_414750.1_212'],[],198,-1,208
223,b0215,dnaQ,['NC_000913.3_cds_NP_414751.1_213'],[],199,-1,209
224,b0216,aspV,[],[],-1,-1,-1
225,b0217,yafT,['NC_000913.3_cds_NP_414752.1_214'],[],200,-1,210
226,b4586,ykfM,['NC_000913.3_cds_YP_001165307.1_215'],[],-1,-1,211
227,b0218,yafU,[],[],201,-1,212
228,b4503,yafF,[],[],202,-1,213
229,b0219,yafV,['NC_000913.3_cds_NP_414754.1_216'],[],203,-1,214
230,b0220,ivy,['NC_000913.3_cds_NP_414755.1_217'],[],204,-1,215
231,b0221,fadE,['NC_000913.3_cds_NP_414756.2_218'],[],205,95,216
232,b0222,gmhA,['NC_000913.3_cds_NP_414757.1_219'],[],206,96,217
233,b0223,yafJ,['NC_000913.3_cds_NP_414758.1_220'],[],207,-1,218
234,b0224,dpaA,['NC_000913.3_cds_NP_414759.1_221'],[],208,-1,219
235,b0225,yafQ,['NC_000913.3_cds_NP_414760.1_222'],[],209,-1,220
236,b0226,dinJ,['NC_000913.3_cds_NP_414761.1_223'],[],210,-1,221
237,b0227,yafL,['NC_000913.3_cds_NP_414762.1_224'],[],211,-1,222
238,b0228,rayT,['NC_000913.3_cds_NP_414763.1_225'],[],212,-1,223
239,b0229,lfhA,[],[],213,-1,224
240,b0230,lafU,[],[],214,-1,225
241,b0231,dinB,['NC_000913.3_cds_NP_414766.1_226'],[],215,-1,226
242,b0232,yafN,['NC_000913.3_cds_NP_414767.1_227'],[],216,-1,227
243,b0233,yafO,['NC_000913.3_cds_NP_414768.1_228'],[],217,-1,228
244,b0234,yafP,['NC_000913.3_cds_NP_414769.1_229'],[],218,-1,229
245,b0235,ykfJ,[],[],219,-1,230
246,b0236,prfH,[],[],220,-1,231
247,b0237,pepD,['NC_000913.3_cds_NP_414772.1_230'],[],221,97,232
248,b0238,gpt,['NC_000913.3_cds_NP_414773.1_231'],[],222,98,233
249,b0239,frsA,['NC_000913.3_cds_NP_414774.1_232'],[],223,-1,234
250,b0240,crl,['NC_000913.3_cds_b0240_233'],[],224,-1,235
251,b4710,insB9,['NC_000913.3_cds_YP_009518739.1_234'],[],-1,-1,236
252,b4709,insA9,['NC_000913.3_cds_YP_009518740.1_235'],[],-1,-1,237
253,b0241,phoE,['NC_000913.3_cds_NP_414776.1_236'],[],225,99,238
254,b0242,proB,['NC_000913.3_cds_NP_414777.1_237'],[],226,100,239
255,b0243,proA,['NC_000913.3_cds_NP_414778.1_238'],[],227,101,240
256,b0244,thrW,[],[],-1,-1,-1
257,b4626,ykfN,[],[],-1,-1,241
258,b0245,ykfI,['NC_000913.3_cds_NP_414779.1_239'],[],228,-1,242
259,b0246,yafW,['NC_000913.3_cds_NP_414780.1_240'],[],229,-1,243
260,b4504,ykfH,['NC_000913.3_cds_YP_588435.1_241'],[],230,-1,244
261,b0247,ykfG,['NC_000913.3_cds_NP_414781.1_242'],[],231,-1,245
262,b0248,yafX,['NC_000913.3_cds_NP_414782.1_243'],[],232,-1,246
263,b0249,ykfF,['NC_000913.3_cds_NP_414783.1_244'],[],233,-1,247
264,b0250,ykfB,['NC_000913.3_cds_NP_414784.1_245'],[],234,-1,248
265,b0251,yafY,['NC_000913.3_cds_NP_414785.4_246'],[],235,-1,249
266,b4627,ykfL,[],[],-1,-1,-1
267,b4628,ykfK,[],[],-1,-1,-1
268,b0252,yafZ,['NC_000913.3_cds_NP_414786.4_247'],[],236,-1,250
269,b0253,ykfA,['NC_000913.3_cds_NP_414787.4_248'],[],237,-1,251
270,b0254,perR,['NC_000913.3_cds_NP_414788.1_249'],[],238,-1,252
271,b4587,insN,['NC_000913.3_cds_b4587_250'],[],-1,-1,253
272,b0256,insI1,['NC_000913.3_cds_NP_414790.1_251'],[],-1,-1,254
273,b4690,eyeA,[],[],-1,-1,-1
274,b0258,ykfC,['NC_000913.3_cds_YP_009518741.1_252'],[],239,-1,255
275,b0259,insH1,['NC_000913.3_cds_NP_414793.2_253'],[],-1,-1,256
276,b0260,mmuP,['NC_000913.3_cds_NP_414794.4_254'],[],240,102,257
277,b0261,mmuM,['NC_000913.3_cds_NP_414795.1_255'],[],241,103,258
278,b0262,afuC,['NC_000913.3_cds_NP_414796.2_256'],[],242,-1,259
279,b0263,afuB,[],[],243,-1,260
280,b0264,insB2,['NC_000913.3_cds_NP_414798.1_257'],[],-1,-1,261
281,b0265,insA2,['NC_000913.3_cds_NP_414799.1_258'],[],-1,-1,262
282,b4708,insI2,[],[],-1,-1,-1
283,b4505,insX,[],[],244,-1,-1
284,b0266,yagB,['NC_000913.3_cds_YP_009518742.1_259'],[],245,-1,263
285,b0267,yagA,['NC_000913.3_cds_NP_414801.1_260'],[],246,-1,264
286,b0268,yagE,['NC_000913.3_cds_NP_414802.2_261'],[],247,104,265
287,b0269,yagF,['NC_000913.3_cds_NP_414803.1_262'],[],248,105,266
288,b0270,yagG,['NC_000913.3_cds_NP_414804.1_263'],[],249,-1,267
289,b0271,yagH,['NC_000913.3_cds_NP_414805.1_264'],[],250,-1,268
290,b0272,xynR,['NC_000913.3_cds_NP_414806.1_265'],[],251,-1,269
291,b0273,argF,['NC_000913.3_cds_NP_414807.1_266'],[],252,106,270
292,b4766,argL,['NC_000913.3_cds_YP_010051174.1_267'],[],-1,-1,-1
293,b4688,ykgS,['NC_000913.3_cds_YP_009518743.1_268'],[],-1,-1,271
294,b0274,insB3,['NC_000913.3_cds_NP_414808.1_269'],[],-1,-1,272
295,b0275,insA3,['NC_000913.3_cds_NP_414809.1_270'],[],-1,-1,273
296,b0276,yagJ,['NC_000913.3_cds_YP_009518744.1_271'],[],253,-1,274
297,b0277,yagK,['NC_000913.3_cds_NP_414811.1_272'],[],254,-1,275
298,b0278,yagL,['NC_000913.3_cds_NP_414812.1_273'],[],255,-1,276
299,b0279,yagM,['NC_000913.3_cds_NP_414813.1_274'],[],256,-1,277
300,b4729,ykgV,['NC_000913.3_cds_YP_009518745.1_275'],[],-1,-1,278
301,b0280,yagN,['NC_000913.3_cds_NP_414814.1_276'],[],257,-1,279
302,b0281,intF,['NC_000913.3_cds_NP_414815.1_277'],[],258,-1,280
303,b0282,yagP,['NC_000913.3_cds_YP_009518746.1_278'],[],259,-1,281
304,b0283,paoD,['NC_000913.3_cds_NP_414817.1_279'],[],260,-1,282
305,b0284,paoC,['NC_000913.3_cds_NP_414818.1_280'],[],261,-1,283
306,b0285,paoB,['NC_000913.3_cds_NP_414819.1_281'],[],262,-1,284
307,b0286,paoA,['NC_000913.3_cds_NP_414820.1_282'],[],263,-1,285
308,b0287,yagU,['NC_000913.3_cds_NP_414821.1_283'],[],264,-1,286
309,b0288,ykgJ,['NC_000913.3_cds_NP_414822.1_284'],[],265,-1,287
310,b0289,ecpE,['NC_000913.3_cds_NP_414823.2_285'],[],266,-1,288
311,b0290,ecpD,['NC_000913.3_cds_NP_414824.1_286'],[],267,-1,289
312,b0291,ecpC,['NC_000913.3_cds_NP_414825.1_287'],[],268,-1,290
313,b0292,ecpB,['NC_000913.3_cds_NP_414826.1_288'],[],269,-1,291
314,b0293,ecpA,['NC_000913.3_cds_NP_414827.1_289'],[],270,-1,292
315,b0294,matA,['NC_000913.3_cds_NP_414828.1_290'],[],271,-1,293
316,b0295,ykgL,['NC_000913.3_cds_NP_414829.1_291'],[],272,-1,294
317,b4506,ykgO,['NC_000913.3_cds_YP_588437.1_292'],[],-1,-1,295
318,b0296,ykgM,['NC_000913.3_cds_NP_414830.1_293'],[],273,-1,296
319,b4671,ykgR,['NC_000913.3_cds_YP_002791238.1_294'],[],-1,-1,297
320,b4630,ykgP,[],[],-1,-1,298
321,b0297,eaeH,[],[],274,-1,299
322,b0298,insE1,['NC_000913.3_cds_NP_414832.2_295'],[],-1,-1,300
323,b0299,insF1,['NC_000913.3_cds_NP_414833.1_296'],[],-1,-1,301
324,b0300,ykgA,[],[],275,-1,302
325,b4631,ykgQ,[],[],-1,-1,-1
326,b0301,rclC,['NC_000913.3_cds_NP_414835.2_297'],[],276,-1,303
327,b0303,rclB,['NC_000913.3_cds_NP_414837.2_298'],[],277,-1,304
328,b0304,rclA,['NC_000913.3_cds_NP_414838.2_299'],[],278,-1,305
329,b0305,rclR,['NC_000913.3_cds_NP_414839.1_300'],[],279,-1,306
330,b0306,ykgE,['NC_000913.3_cds_NP_414840.1_301'],[],280,107,307
331,b0307,ykgF,['NC_000913.3_cds_NP_414841.1_302'],[],281,108,308
332,b0308,ykgG,['NC_000913.3_cds_NP_414842.4_303'],[],282,109,309
333,b0310,ykgH,['NC_000913.3_cds_NP_414844.1_304'],[],283,-1,310
334,b0311,betA,['NC_000913.3_cds_NP_414845.1_305'],[],284,110,311
335,b0312,betB,['NC_000913.3_cds_NP_414846.1_306'],[],285,111,312
336,b0313,betI,['NC_000913.3_cds_NP_414847.3_307'],[],286,-1,313
337,b0314,betT,['NC_000913.3_cds_NP_414848.1_308'],[],287,112,314
338,b4730,yahV,['NC_000913.3_cds_YP_009518747.1_309'],[],-1,-1,315
339,b0315,pdeL,['NC_000913.3_cds_NP_414849.1_310'],[],288,113,316
340,b0316,yahB,['NC_000913.3_cds_NP_414850.1_311'],[],289,-1,317
341,b0317,yahC,['NC_000913.3_cds_NP_414851.1_312'],[],290,-1,318
342,b0318,yahD,['NC_000913.3_cds_NP_414852.1_313'],[],291,-1,319
343,b0319,yahE,['NC_000913.3_cds_NP_414853.1_314'],[],292,-1,320
