,locus,symbol,precise1k_idx,matrix_idx
406,b1103,hinT,1089,1149
407,b1106,thiK,1092,1152
408,b1107,nagZ,1093,1153
409,b1109,ndh,1095,1155
410,b1113,ldtC,1099,1160
411,b1119,nagK,1105,1166
412,b1123,potD,1109,1170
413,b1124,potC,1110,1171
414,b1125,potB,1111,1172
415,b1126,potA,1112,1173
416,b1131,purB,1117,1178
417,b1134,nudJ,1120,1181
418,b1136,icd,1122,1183
419,b1185,dsbB,1178,1241
420,b1186,nhaB,1179,1242
421,b1189,dadA,1182,1245
422,b1190,dadX,1183,1246
423,b1192,ldcA,1186,1249
424,b1193,emtA,1187,1250
425,b1197,treA,1191,1254
426,b1198,dhaM,1192,1255
427,b1199,dhaL,1193,1256
428,b1200,dhaK,1194,1257
429,b1206,dauA,1200,1263
430,b1207,prs,1201,1264
431,b1208,ispE,1202,1265
432,b1210,hemA,1204,1267
433,b1215,kdsA,1209,1272
434,b1216,chaA,1213,1279
435,b1223,narK,1220,1286
436,b1224,narG,1221,1288
437,b1225,narH,1222,1289
438,b1226,narJ,1223,1290
439,b1227,narI,1224,1291
440,b1232,purU,1227,1297
441,b1236,galU,1231,1301
442,b1238,tdk,1233,1303
443,b1241,adhE,1235,1305
444,b1243,oppA,1238,1309
445,b1244,oppB,1239,1310
446,b1245,oppC,1240,1311
447,b1246,oppD,1241,1312
448,b1247,oppF,1242,1313
449,b1249,clsA,1244,1315
450,b1250,kch,1246,1317
451,b1252,tonB,1248,1319
452,b1260,trpA,1256,1327
453,b1261,trpB,1257,1328
454,b1262,trpC,1258,1329
455,b1263,trpD,1259,1330
456,b1264,trpE,1260,1331
457,b1270,btuR,1266,1337
458,b1276,acnA,1275,1346
459,b1277,ribA,1276,1347
460,b1278,pgpB,1277,1348
461,b1281,pyrF,1280,1351
462,b1285,pdeR,1285,1357
463,b1288,fabI,1289,1361
464,b1291,sapD,1292,1364
465,b1296,puuP,1297,1369
466,b1297,puuA,1299,1371
467,b1298,puuD,1300,1372
468,b1300,puuC,1302,1374
469,b1301,puuB,1303,1375
470,b1302,puuE,1304,1376
471,b1308,pspE,1310,1382
472,b1317,ycjU,1319,1391
473,b1319,ompG,1322,1394
474,b1325,ycjG,1328,1400
475,b1326,mpaA,1329,1401
476,b1329,mppA,1334,1406
477,b1330,ynaI,1335,1407
478,b1336,abgT,1341,1413
479,b1337,abgB,1342,1414
480,b1338,abgA,1343,1415
481,b1341,dgcM,1346,1419
482,b1363,trkG,1371,1448
483,b1377,ompN,1384,1461
484,b1378,ydbK,1385,1463
485,b1380,ldhA,1388,1466
486,b1385,feaB,1393,1471
487,b1386,tynA,1394,1472
488,b1387,paaZ,1395,1473
489,b1388,paaA,1396,1474
490,b1389,paaB,1397,1475
491,b1390,paaC,1398,1476
492,b1391,paaD,1399,1477
493,b1392,paaE,1400,1478
494,b1393,paaF,1401,1479
495,b1394,paaG,1402,1480
496,b1395,paaH,1403,1481
497,b1396,paaI,1404,1482
498,b1397,paaJ,1405,1483
499,b1398,paaK,1406,1484
500,b1400,paaY,1408,1486
501,b1415,aldA,1423,1501
502,b1430,tehB,1437,1518
503,b1440,ydcS,1447,1529
504,b1441,ydcT,1448,1530
505,b1442,ydcU,1449,1531
506,b1443,ydcV,1450,1532
507,b1444,patD,1451,1533
508,b1448,mnaT,1456,1538
509,b1449,curA,1457,1539
510,b1453,ansP,1461,1543
511,b1463,nhoA,1471,1553
512,b1465,narV,1473,1555
513,b1466,narW,1474,1556
514,b1467,narY,1475,1557
515,b1468,narZ,1476,1558
516,b1469,narU,1477,1559
517,b1473,yddG,1481,1563
518,b1474,fdnG,1482,1564
519,b1475,fdnH,1483,1565
520,b1476,fdnI,1484,1566
521,b1478,adhP,1486,1568
522,b1479,maeA,1487,1569
523,b1483,ddpF,1491,1573
524,b1484,ddpD,1492,1574
525,b1485,ddpC,1493,1575
526,b1486,ddpB,1494,1576
527,b1487,ddpA,1495,1577
528,b1488,ddpX,1496,1578
529,b1489,dosP,1497,1579
530,b1490,dosC,1498,1580
531,b1492,gadC,1501,1583
532,b1493,gadB,1502,1584
533,b1511,lsrK,1520,1602
534,b1513,lsrA,1522,1604
535,b1514,lsrC,1523,1605
536,b1515,lsrD,1524,1606
537,b1516,lsrB,1525,1607
538,b1517,lsrF,1526,1608
539,b1518,lsrG,1527,1609
540,b1519,tam,1528,1610
541,b1521,uxaB,1530,1612
542,b1524,glsB,1533,1615
543,b1525,sad,1534,1616
544,b1528,ydeA,1537,1619
545,b1533,eamA,1542,1624
546,b1535,dgcZ,1545,1629
547,b1539,ydfG,1549,1633
548,b1584,speG,1600,1686
549,b1587,ynfE,1603,1689
550,b1588,ynfF,1604,1690
551,b1589,ynfG,1605,1691
552,b1590,ynfH,1606,1692
553,b1592,clcB,1608,1694
554,b1599,mdtI,1616,1702
555,b1600,mdtJ,1617,1703
556,b1601,tqsA,1618,1705
557,b1602,pntB,1619,1706
558,b1603,pntA,1620,1707
559,b1605,ydgI,1622,1709
560,b1606,folM,1623,1710
561,b1611,fumC,1628,1715
562,b1612,fumA,1629,1716
563,b1613,manA,1630,1717
564,b1616,uidB,1633,1720
565,b1617,uidA,1634,1721
566,b1619,hdhA,1636,1723
567,b1621,malX,1638,1725
568,b1622,malY,1639,1726
569,b1623,add,1640,1727
570,b1634,dtpA,1652,1739
571,b1636,pdxY,1654,1741
572,b1638,pdxH,1656,1743
573,b1640,anmK,1658,1745
574,b1646,sodC,1664,1751
575,b1651,gloA,1669,1756
576,b1654,grxD,1672,1759
577,b1655,mepH,1673,1760
578,b1656,sodB,1674,1761
579,b1661,cfa,1680,1767
580,b1662,ribC,1681,1768
581,b1676,pykF,1693,1783
582,b1677,lpp,1694,1784
583,b1678,ldtE,1695,1785
584,b1679,sufE,1696,1786
585,b1680,sufS,1697,1787
586,b1681,sufD,1698,1788
587,b1682,sufC,1699,1789
588,b1683,sufB,1700,1790
589,b1684,sufA,1701,1791
590,b1686,menI,1703,1794
591,b1692,ydiB,1709,1801
592,b1693,aroD,1710,1802
593,b1694,ydiF,1711,1803
594,b1695,ydiO,1712,1804
595,b1701,fadK,1718,1810
596,b1702,ppsA,1719,1811
597,b1704,aroH,1721,1813
598,b1709,btuD,1726,1818
599,b1710,btuE,1727,1819
600,b1711,btuC,1728,1820
601,b1723,pfkB,1740,1832
602,b1727,hxpB,1744,1836
603,b1732,katE,1749,1841
604,b1733,chbG,1750,1842
605,b1734,chbF,1751,1843
606,b1736,chbA,1753,1845
607,b1737,chbC,1754,1846
608,b1738,chbB,1755,1847
609,b1740,nadE,1757,1849
610,b1744,astE,1761,1853
611,b1745,astB,1762,1854
612,b1746,astD,1763,1855
613,b1747,astA,1764,1856
614,b1748,astC,1765,1857
615,b1759,nudG,1776,1868
616,b1761,gdhA,1778,1870
617,b1764,selD,1781,1873
618,b1767,ansA,1784,1876
619,b1768,pncA,1785,1877
620,b1771,ydjG,1788,1880
621,b1778,msrB,1795,1887
622,b1779,gapA,1796,1888
623,b1781,yeaE,1798,1890
624,b1794,dgcP,1811,1903
625,b1798,leuE,1817,1909
626,b1800,dmlA,1819,1911
627,b1801,yeaV,1820,1912
628,b1805,fadD,1824,1916
629,b1812,pabB,1831,1923
630,b1813,nudL,1832,1924
631,b1814,sdaA,1833,1925
632,b1817,manX,1837,1929
633,b1818,manY,1838,1930
634,b1819,manZ,1839,1931
635,b1821,mntP,1841,1933
636,b1832,msrC,1853,1945
637,b1849,purT,1870,1964
638,b1850,eda,1871,1965
639,b1851,edd,1872,1966
640,b1852,zwf,1873,1967
641,b1854,pykA,1875,1969
642,b1855,lpxM,1876,1970
643,b1856,mepM,1877,1971
644,b1857,znuA,1878,1972
645,b1858,znuC,1879,1973
646,b1859,znuB,1880,1974
647,b1865,nudB,1887,1981
648,b1870,cmoA,1892,1986
649,b1872,torZ,1894,1988
650,b1873,torY,1895,1989
651,b1896,otsA,1918,2015
652,b1897,otsB,1919,2016
653,b4460,araH,1920,2017
654,b1900,araG,1921,2018
655,b1901,araF,1922,2019
656,b1907,tyrP,1929,2026
657,b1912,pgsA,1931,2032
658,b1917,tcyN,1937,2039
659,b1918,tcyL,1938,2040
660,b1919,dcyD,1939,2041
661,b1920,tcyJ,1940,2042
662,b1927,amyA,1947,2050
663,b1967,hchA,1982,2087
664,b1981,shiA,1993,2100
665,b1982,amn,1994,2101
666,b1985,yeeO,1996,2104
667,b1990,ldtA,1999,2109
668,b1991,cobT,2000,2110
669,b1992,cobS,2001,2111
670,b1993,cobU,2002,2112
671,b2010,dacD,2019,2135
672,b2014,plaP,2023,2139
673,b2019,hisG,2030,2146
674,b2020,hisD,2031,2147
675,b2021,hisC,2032,2148
676,b2022,hisB,2033,2149
677,b2023,hisH,2034,2150
678,b2024,hisA,2035,2151
679,b2025,hisF,2036,2152
680,b2026,hisI,2037,2153
681,b2027,wzzB,2038,2154
682,b2028,ugd,2039,2155
683,b2029,gnd,2040,2156
684,b2032,wbbK,2043,2159
685,b2033,wbbJ,2044,2160
686,b2034,wbbI,2045,2161
687,b2035,wbbH,2046,2162
688,b2036,glf,2047,2163
689,b2037,rfbX,2048,2164
690,b2038,rfbC,2049,2165
691,b2039,rfbA,2050,2166
692,b2040,rfbD,2051,2167
693,b2041,rfbB,2052,2168
694,b2047,wcaJ,2058,2174
695,b2048,cpsG,2059,2175
696,b2049,cpsB,2060,2176
697,b2051,gmm,2062,2178
698,b2052,fcl,2063,2179
699,b2053,gmd,2064,2180
700,b2065,dcd,2076,2192
701,b2066,udk,2077,2193
702,b2091,gatD,2102,2221
703,b2092,gatC,2103,2222
704,b2093,gatB,2104,2223
705,b2094,gatA,2105,2224
706,b2095,gatZ,2106,2225
707,b2096,gatY,2107,2226
708,b2097,fbaB,2108,2227
709,b2103,thiD,2114,2233
710,b2104,thiM,2115,2234
711,b2128,yehW,2139,2259
712,b2129,yehX,2140,2260
713,b2130,yehY,2141,2261
714,b2131,osmF,2142,2262
715,b2132,bglX,2143,2263
716,b2133,dld,2144,2264
717,b2134,pbpG,2145,2265
718,b2143,cdd,2154,2274
719,b2146,preT,2157,2277
720,b2147,preA,2158,2278
721,b2148,mglC,2159,2279
722,b2149,mglA,2160,2280
723,b2150,mglB,2161,2281
724,b2153,folE,2164,2284
725,b2154,yeiG,2165,2285
726,b2155,cirA,2166,2286
727,b2156,lysP,2167,2287
728,b2162,rihB,2173,2293
729,b2164,psuT,2175,2295
730,b2165,psuG,2176,2296
731,b2166,psuK,2177,2297
732,b2167,fruA,2178,2298
733,b2168,fruK,2179,2299
734,b2169,fruB,2180,2300
735,b2170,setB,2181,2301
736,b2173,yeiR,2185,2305
737,b2174,lpxT,2186,2306
738,b2175,mepS,2187,2307
739,b2177,yejA,2189,2309
740,b2178,yejB,2190,2310
741,b2179,yejE,2191,2311
742,b2180,yejF,2192,2312
743,b2197,ccmE,2207,2328
744,b2198,ccmD,2208,2329
745,b2199,ccmC,2209,2330
746,b2200,ccmB,2210,2331
747,b2201,ccmA,2211,2332
748,b2202,napC,2212,2333
749,b2203,napB,2213,2334
750,b2204,napH,2214,2335
751,b2205,napG,2215,2336
752,b2206,napA,2216,2337
753,b2210,mqo,2221,2342
754,b2215,ompC,2226,2347
755,b2221,atoD,2232,2354
756,b2222,atoA,2233,2355
757,b2223,atoE,2234,2356
758,b2224,atoB,2235,2357
759,b2232,ubiG,2242,2364
760,b2234,nrdA,2245,2367
761,b2235,nrdB,2246,2369
762,b2239,glpQ,2250,2373
763,b2240,glpT,2251,2374
764,b2241,glpA,2252,2375
765,b2242,glpB,2253,2376
766,b2243,glpC,2254,2377
767,b2245,yfaU,2257,2380
768,b2247,rhmD,2259,2382
769,b2251,nudI,2263,2386
770,b2253,arnB,2265,2388
771,b2254,arnC,2266,2389
772,b2255,arnA,2267,2390
773,b2256,arnD,2268,2391
774,b2257,arnT,2269,2392
775,b4544,arnE,2270,2393
776,b2258,arnF,2271,2394
777,b2260,menE,2273,2396
778,b2261,menC,2274,2397
779,b2262,menB,2275,2398
780,b2263,menH,2276,2399
781,b2264,menD,2277,2400
782,b2265,menF,2278,2401
783,b2276,nuoN,2289,2412
784,b2277,nuoM,2290,2413
785,b2278,nuoL,2291,2414
786,b2279,nuoK,2292,2415
787,b2280,nuoJ,2293,2416
788,b2281,nuoI,2294,2417
789,b2282,nuoH,2295,2418
790,b2283,nuoG,2296,2419
791,b2284,nuoF,2297,2420
792,b2285,nuoE,2298,2421
793,b2286,nuoC,2299,2422
794,b2287,nuoB,2300,2423
795,b2288,nuoA,2301,2424
796,b2290,alaA,2303,2426
797,b2291,yfbR,2304,2427
798,b2293,hxpA,2306,2429
799,b2296,ackA,2309,2432
800,b2297,pta,2310,2433
801,b2302,yfcG,2315,2438
802,b2303,folX,2316,2439
803,b2306,hisP,2319,2442
804,b2307,hisM,2320,2443
805,b2308,hisQ,2321,2444
806,b2309,hisJ,2322,2445
807,b2310,argT,2323,2446
808,b2312,purF,2325,2448
809,b2315,folC,2328,2451
810,b2316,accD,2329,2452
811,b2320,pdxB,2333,2456
812,b2323,fabB,2336,2459
813,b2328,mepA,2341,2464
814,b2329,aroC,2342,2465
815,b2341,fadJ,2353,2476
816,b2342,fadI,2354,2477
817,b2344,fadL,2356,2479
818,b2361,yfdR,2371,2497
819,b2366,dsdA,2378,2505
820,b2371,yfdE,2383,2511
821,b2373,oxc,2385,2513
822,b2374,frc,2386,2514
823,b2378,lpxP,2390,2518
824,b2379,alaC,2392,2520
825,b2388,glk,2401,2529
826,b2392,mntH,2404,2532
827,b2393,nupC,2405,2534
828,b2400,gltX,2410,2541
829,b2406,xapB,2412,2547
830,b2407,xapA,2413,2548
831,b2411,ligA,2418,2553
832,b2413,cysZ,2420,2555
833,b2414,cysK,2421,2556
834,b2415,ptsH,2422,2557
835,b2416,ptsI,2423,2558
836,b2417,crr,2424,2559
837,b2418,pdxK,2425,2560
838,b2421,cysM,2428,2563
839,b2422,cysA,2429,2564
840,b2423,cysW,2430,2565
841,b2424,cysU,2431,2566
842,b2425,cysP,2432,2567
843,b2428,murQ,2435,2570
844,b2429,murP,2436,2571
845,b2430,yfeW,2437,2572
846,b2431,yfeX,2438,2573
847,b2435,amiA,2442,2577
848,b2436,hemF,2443,2578
849,b2440,eutC,2447,2582
850,b2441,eutB,2448,2583
851,b2458,eutD,2465,2600
852,b2463,maeB,2470,2605
853,b2464,talA,2471,2606
854,b2465,tktB,2472,2607
855,b2467,nudK,2474,2609
856,b2470,acrD,2477,2612
857,b2472,dapE,2480,2615
858,b2476,purC,2485,2620
859,b2478,dapA,2487,2622
860,b2480,bcp,2489,2624
861,b2481,hyfA,2490,2625
862,b2482,hyfB,2491,2626
863,b2483,hyfC,2492,2627
864,b2484,hyfD,2493,2628
865,b2485,hyfE,2494,2629
866,b2486,hyfF,2495,2630
867,b2487,hyfG,2496,2631
868,b2488,hyfH,2497,2632
869,b2489,hyfI,2498,2633
870,b2490,hyfJ,2499,2634
871,b2492,focB,2501,2636
872,b2497,uraA,2506,2641
873,b2498,upp,2507,2642
874,b2499,purM,2508,2643
875,b2500,purN,2509,2644
876,b2501,ppk,2510,2645
877,b2502,ppx,2511,2646
878,b2503,pdeF,2512,2647
879,b2507,guaA,2516,2651
880,b2508,guaB,2517,2652
881,b2515,ispG,2524,2660
882,b2518,ndk,2527,2663
883,b2519,pbpC,2528,2664
884,b2521,sseA,2530,2666
885,b2523,pepB,2532,2671
886,b2528,iscA,2537,2676
887,b2529,iscU,2538,2677
888,b2530,iscS,2539,2678
889,b2533,suhB,2542,2681
890,b2536,hcaT,2545,2684
891,b2538,hcaE,2548,2687
892,b2539,hcaF,2549,2688
893,b2540,hcaC,2550,2689
894,b2541,hcaB,2551,2690
895,b2542,hcaD,2552,2691
896,b2551,glyA,2561,2700
897,b2552,hmp,2562,2701
898,b2557,purL,2567,2707
899,b2558,mltF,2568,2708
900,b2563,acpS,2574,2715
901,b2564,pdxJ,2575,2716
902,b2574,nadB,2586,2727
903,b2578,eamB,2590,2731
904,b2579,grcA,2591,2732
905,b2582,trxC,2594,2735
906,b2585,pssA,2597,2739
907,b2587,kgtP,2599,2741
908,b2599,pheA,2606,2755
909,b2600,tyrA,2607,2756
910,b2601,aroF,2608,2757
