,source,target,data_corr,is_directed,is_stimulation,is_inhibition,consensus_direction,consensus_stimulation,consensus_inhibition,curation_effort,references,sources,type,n_sources,n_primary_sources,n_references,references_stripped
141235,CEBPB,IL1B,0.026110742,True,True,False,True,True,False,33,CollecTRI:10383163;CollecTRI:10464291;CollecTRI:10801783;CollecTRI:10838190;CollecTRI:10841183;CollecTRI:10956548;CollecTRI:11035101;CollecTRI:11278846;CollecTRI:11801594;CollecTRI:12072435;CollecTRI:12355443;CollecTRI:12468538;CollecTRI:12759449;CollecTRI:15383601;CollecTRI:15812237;CollecTRI:16399630;CollecTRI:16439360;CollecTRI:16569740;CollecTRI:16867259;CollecTRI:17283046;CollecTRI:17386941;CollecTRI:19806478;CollecTRI:20702408;CollecTRI:2112087;CollecTRI:21917825;CollecTRI:22074460;CollecTRI:22260630;CollecTRI:9372929;CollecTRI:9376596;DoRothEA:17386941;TRRUST:10383163;TRRUST:10801783;TRRUST:17386941,CollecTRI;CytReg_CollecTRI;DoRothEA;ExTRI_CollecTRI;RegNetwork_DoRothEA;TRED_DoRothEA;TRRUST;TRRUST_CollecTRI;TRRUST_DoRothEA,transcriptional,9,3,29.0,10383163;10464291;10801783;10838190;10841183;10956548;11035101;11278846;11801594;12072435;12355443;12468538;12759449;15383601;15812237;16399630;16439360;16569740;16867259;17283046;17386941;19806478;20702408;2112087;21917825;22074460;22260630;9372929;9376596
141230,CEBPB,CXCL8,0.005934718,True,True,False,True,True,False,43,CollecTRI:10462040;CollecTRI:10775602;CollecTRI:11120852;CollecTRI:11390611;CollecTRI:11991987;CollecTRI:12707271;CollecTRI:12748173;CollecTRI:14645117;CollecTRI:15085176;CollecTRI:15688424;CollecTRI:16803583;CollecTRI:16809637;CollecTRI:16818736;CollecTRI:16989899;CollecTRI:17135982;CollecTRI:17471497;CollecTRI:17845418;CollecTRI:17997161;CollecTRI:18487355;CollecTRI:18512730;CollecTRI:18772138;CollecTRI:19064995;CollecTRI:19109189;CollecTRI:19489038;CollecTRI:19734226;CollecTRI:19786303;CollecTRI:19805069;CollecTRI:20861254;CollecTRI:21255844;CollecTRI:21471847;CollecTRI:22031759;CollecTRI:23051921;CollecTRI:24038085;CollecTRI:24554449;CollecTRI:27856305;CollecTRI:8207232;CollecTRI:8234276;CollecTRI:8969274;CollecTRI:8999951;HTRIdb:16818736;TRRUST:11120852;TRRUST:15085176;TRRUST:15688424,CollecTRI;CytReg_CollecTRI;DoRothEA;DoRothEA-A_CollecTRI;ExTRI_CollecTRI;GEREDB_CollecTRI;HTRI_CollecTRI;HTRIdb;HTRIdb_DoRothEA;IntAct_DoRothEA;RegNetwork_DoRothEA;TRED_DoRothEA;TRRUST;TRRUST_CollecTRI;TRRUST_DoRothEA,transcriptional,15,4,39.0,10462040;10775602;11120852;11390611;11991987;12707271;12748173;14645117;15085176;15688424;16803583;16809637;16818736;16989899;17135982;17471497;17845418;17997161;18487355;18512730;18772138;19064995;19109189;19489038;19734226;19786303;19805069;20861254;21255844;21471847;22031759;23051921;24038085;24554449;27856305;8207232;8234276;8969274;8999951
1980,CEBPB,RUNX2,2.92165,True,True,False,True,True,False,3,HPRD:11668178;SPIKE:15713650;SPIKE_LC:15713650,HPRD;SPIKE;SPIKE_LC,post_translational,3,2,2.0,11668178;15713650
164519,CEBPB,RUNX2,2.92165,True,False,True,True,False,True,3,CollecTRI:17579210;CollecTRI:21302301;CollecTRI:21612856,CollecTRI;ExTRI_CollecTRI;NTNU.Curated_CollecTRI,transcriptional,3,1,3.0,17579210;21302301;21612856
141072,CEBPB,IL6,0.002967359,True,True,True,True,False,True,73,CollecTRI:10435001;CollecTRI:10748205;CollecTRI:10816606;CollecTRI:10903137;CollecTRI:11004486;CollecTRI:11035101;CollecTRI:11114305;CollecTRI:11120852;CollecTRI:11160296;CollecTRI:11250916;CollecTRI:11594800;CollecTRI:11866474;CollecTRI:12177065;CollecTRI:12706815;CollecTRI:12853840;CollecTRI:1327803;CollecTRI:1421375;CollecTRI:1427600;CollecTRI:14530280;CollecTRI:14600152;CollecTRI:15044620;CollecTRI:15389813;CollecTRI:15613028;CollecTRI:15688424;CollecTRI:16784777;CollecTRI:1730090;CollecTRI:17332680;CollecTRI:17955490;CollecTRI:18955501;CollecTRI:19026986;CollecTRI:19632992;CollecTRI:19782405;CollecTRI:20511231;CollecTRI:21069809;CollecTRI:2112087;CollecTRI:21127061;CollecTRI:22074460;CollecTRI:22558159;CollecTRI:22895549;CollecTRI:23361365;CollecTRI:23595969;CollecTRI:23874122;CollecTRI:24012417;CollecTRI:24472318;CollecTRI:25382637;CollecTRI:7543095;CollecTRI:7651415;CollecTRI:7744000;CollecTRI:7744784;CollecTRI:7818522;CollecTRI:7821611;CollecTRI:8234276;CollecTRI:8325885;CollecTRI:8336793;CollecTRI:8346247;CollecTRI:8441418;CollecTRI:8725624;CollecTRI:8752656;CollecTRI:8786324;CollecTRI:8910763;CollecTRI:9182853;CollecTRI:9199508;CollecTRI:9282937;CollecTRI:9312180;CollecTRI:9378980;CollecTRI:9442386;CollecTRI:9516466;CollecTRI:9523851;CollecTRI:9648065;CollecTRI:9661072;TRRUST:10903137;TRRUST:11120852;TRRUST:8725624,CollecTRI;CytReg_CollecTRI;DoRothEA;ExTRI_CollecTRI;HOCOMOCO_DoRothEA;JASPAR_DoRothEA;KEGG-MEDICUS;NTNU.Curated_CollecTRI;RegNetwork_DoRothEA;TRED_DoRothEA;TRRUST;TRRUST_CollecTRI;TRRUST_DoRothEA,transcriptional,13,4,70.0,10435001;10748205;10816606;10903137;11004486;11035101;11114305;11120852;11160296;11250916;11594800;11866474;12177065;12706815;12853840;1327803;1421375;1427600;14530280;14600152;15044620;15389813;15613028;15688424;16784777;1730090;17332680;17955490;18955501;19026986;19632992;19782405;20511231;21069809;2112087;21127061;22074460;22558159;22895549;23361365;23595969;23874122;24012417;24472318;25382637;7543095;7651415;7744000;7744784;7818522;7821611;8234276;8325885;8336793;8346247;8441418;8725624;8752656;8786324;8910763;9182853;9199508;9282937;9312180;9378980;9442386;9516466;9523851;9648065;9661072
145414,CEBPB,IGF2,0.0023696683,True,True,False,True,True,False,5,CollecTRI:11165040;CollecTRI:20228168;CollecTRI:21777668;CollecTRI:7659086;DoRothEA:7659086,CollecTRI;DoRothEA;ExTRI_CollecTRI;GEREDB_CollecTRI;RegNetwork_DoRothEA;TFactS_CollecTRI;TFactS_DoRothEA;TRED_DoRothEA,transcriptional,8,2,4.0,11165040;20228168;21777668;7659086
4256,CEBPB,HSP90AA1,8.084925,True,True,False,True,True,False,2,SPIKE:18266962;SPIKE_LC:18266962,SPIKE;SPIKE_LC,post_translational,2,1,1.0,18266962
141100,CEBPB,HSP90AA1,8.084925,True,True,False,True,True,False,2,CollecTRI:10440232;CollecTRI:9880553,CollecTRI;ExTRI_CollecTRI,transcriptional,2,1,2.0,10440232;9880553
161544,CEBPB,TRIB3,3.8394043,True,True,False,True,True,False,3,CollecTRI:16949670;CollecTRI:19164449;CollecTRI:21203563,CollecTRI;ENCODE-proximal;ExTRI_CollecTRI;NTNU.Curated_CollecTRI,transcriptional,4,2,3.0,16949670;19164449;21203563
151007,CEBPB,INSR,0.041073363,True,True,False,True,True,False,5,CollecTRI:12665574;CollecTRI:18310298;CollecTRI:8288055;DoRothEA:8288055;TRRUST:8288055,CollecTRI;DoRothEA;ExTRI_CollecTRI;RegNetwork_DoRothEA;TRED_DoRothEA;TRRUST;TRRUST_CollecTRI;TRRUST_DoRothEA,transcriptional,8,3,3.0,12665574;18310298;8288055
172929,CEBPB,GDF15,3.0690312,True,True,False,True,True,False,5,CollecTRI:20110283;CollecTRI:24086573;DoRothEA:24086573;SIGNOR:24086573;TRRUST:24086573,CollecTRI;DoRothEA;ExTRI_CollecTRI;SIGNOR;SIGNOR_CollecTRI;TRRUST;TRRUST_CollecTRI;TRRUST_DoRothEA,transcriptional,8,4,2.0,20110283;24086573
160967,CEBPB,TGFB1,7.4439716,True,True,False,True,True,False,8,CollecTRI:16735029;CollecTRI:16908841;CollecTRI:16959612;CollecTRI:19014341;CollecTRI:21098707;CollecTRI:21122806;CollecTRI:9199295;CollecTRI:9726249,CollecTRI;DoRothEA;ExTRI_CollecTRI;GEREDB_CollecTRI;RegNetwork_DoRothEA;TRED_DoRothEA,transcriptional,6,2,8.0,16735029;16908841;16959612;19014341;21098707;21122806;9199295;9726249
4561,CEBPA,SPI1,4.659865,True,True,False,True,True,False,5,BioGRID:12091339;HPRD:12091339;SPIKE:10397723;SPIKE_LC:10397723;SPIKE_LC:12091339,BioGRID;HPRD;SPIKE;SPIKE_LC,post_translational,4,3,2.0,10397723;12091339
148760,CEBPA,SPI1,4.659865,True,True,False,True,True,False,9,CollecTRI:12032776;CollecTRI:12949251;CollecTRI:14592841;CollecTRI:14636649;CollecTRI:17671233;CollecTRI:20972335;CollecTRI:24429361;SIGNOR:14592841;TRRUST:24429361,ARACNe-GTEx_DoRothEA;CollecTRI;DoRothEA;DoRothEA-A_CollecTRI;ExTRI_CollecTRI;FANTOM4_DoRothEA;GEREDB_CollecTRI;GOA_CollecTRI;NTNU.Curated_CollecTRI;PAZAR_DoRothEA;SIGNOR;SIGNOR_CollecTRI;TRRUST;TRRUST_CollecTRI;TRRUST_DoRothEA,transcriptional,15,4,7.0,12032776;12949251;14592841;14636649;17671233;20972335;24429361
148759,CEBPA,CEBPE,3.4206698,True,True,False,True,True,False,5,CollecTRI:11278928;CollecTRI:11929766;CollecTRI:12032776;CollecTRI:14636649;CollecTRI:17934488,CollecTRI;DoRothEA;ExTRI_CollecTRI;GEREDB_CollecTRI;NTNU.Curated_CollecTRI;PAZAR_DoRothEA,transcriptional,6,2,5.0,11278928;11929766;12032776;14636649;17934488
